"","cvaR","cnm","cM","p.max","EMA.max","f.aic","OMA_solnp.max","OMA_osqp.max","CSL.max1","CSL.max2","CSL.max3","CSL2.max1","CSL2.max2","CSL2.max3","ols_sigma_df_est_per_site.max","em_per_site.max","center_agg","center_opt_solnp","center_opt_osqp","pred_OMA_solnp","pred_OMA_osqp","center_opt_solnp.round","center_opt_osqp.round"
"1",0.5,50,10,0.00101999999993495,0.00155000000017026,0.00183000000008178,0.116010000000188,0.00260000000012951,0.000860000000047876,0.00111000000006243,0.00139000000002852,0.000310000000063155,0.000540000000073633,0.000800000000053842,0.00154000000016822,0.000279999999966094,5.00000000101863e-05,0.114120000000039,0.000709999999980937,2.00000000040745e-05,2.00000000040745e-05,9.08,26.25
"2",0.5,50,100,0.0011699999999837,0.00887000000009721,0.0128400000000329,1.94477000000028,0.0137600000002021,0.00259000000021842,0.00355000000030486,0.00460000000035507,0.00121000000011918,0.00232000000014523,0.00322000000032858,0.00880000000008295,0.00123000000019601,0.00160000000001673,1.93304000000002,0.00201999999993859,9.9999999965803e-05,0.00010999999996784,11.67,25.25
"3",0.5,50,150,0.00112000000004628,0.0130700000000979,0.0227199999999175,4.20881000000036,0.0235200000001896,0.00294000000038068,0.00406000000046333,0.0051700000006349,0.00143000000009124,0.00249000000027081,0.00365000000041618,0.0129100000000653,0.00175000000017462,0.00503000000000611,4.18895000000008,0.00366999999994732,0.000170000000034634,0.000159999999996216,11.81,25.25
"4",0.5,100,10,0.00114999999997963,0.00179000000014639,0.00266999999996187,0.114440000000195,0.00288000000022294,0.000989999999965221,0.00133999999994558,0.00164999999991778,0.000489999999954307,0.000779999999958818,0.00109999999998763,0.00174000000013621,0.000309999999990396,6.00000000122236e-05,0.112320000000054,0.000720000000073924,1.00000000020373e-05,5.00000000101863e-05,9.08,26.75
"5",0.5,100,100,0.0013900000000649,0.0056100000000697,0.024099999999944,1.92737000000014,0.0110400000003028,0.00310000000046784,0.0042300000006253,0.00537000000082116,0.0015200000000732,0.00259000000023661,0.00386000000038621,0.0054000000000633,0.00186000000019703,0.00160999999994601,1.91830999999989,0.00201000000010026,0.000190000000038708,0.000159999999996216,11.54,25.25
"6",0.5,100,150,0.00132999999997992,0.00984999999993306,0.0443800000001647,4.20234000000035,0.0232500000003165,0.00265000000039436,0.00411000000067361,0.00529000000080487,0.00169000000018059,0.002860000000328,0.00406000000053609,0.0094999999999709,0.0046400000003996,0.00502999999996973,4.18293,0.00376999999998588,0.000240000000012515,0.000309999999990396,11.75,25
"7",0.5,1000,10,0.00234999999984211,0.00308000000042739,0.0144599999999264,0.117550000000629,0.00499000000063461,0.00236000000022614,0.00392000000038024,0.00527000000036423,0.00195000000006985,0.00336000000019339,0.00470000000030268,0.00288000000040483,0.00100000000020373,7.99999999799184e-05,0.113320000000076,0.000900000000019645,0.000269999999964057,0.000130000000026484,9.16,25.25
"8",0.5,1000,100,0.00530000000000655,0.00920000000030996,0.369970000000067,1.98386000000075,0.033140000000858,0.00537000000034823,0.00660000000056243,0.00850000000073123,0.00433000000015454,0.005730000000367,0.00712000000054104,0.00645000000031359,0.0204900000003727,0.00149000000012165,1.95296999999995,0.00233999999993102,0.00245999999999185,0.00237000000011903,16.94,25
"9",0.5,1000,150,0.00742999999984022,0.0146300000002702,0.721329999999998,3.34900000000038,0.0556799999999384,0.00775000000061482,0.00946000000059939,0.0112100000009559,0.00628000000015163,0.00758000000041648,0.0089400000005844,0.00954000000019732,0.0319600000000719,0.00553999999990992,3.29725000000008,0.0038999999999578,0.00471000000012282,0.00473999999980151,15.48,25
"10",0.5,10000,10,0.0168399999996473,0.0198300000004565,0.27773000000001,0.112110000000539,0.0239300000008188,0.00864000000077795,0.0123100000010709,0.0165800000013223,0.00842000000029657,0.0125100000007296,0.0164300000010553,0.016940000000377,0.00376000000036584,2.9999999969732e-05,0.0889299999999821,0.000870000000031723,0.00244999999984429,0.00233000000007451,9.66,25
"11",0.5,10000,100,0.0521300000000519,0.128899999999903,7.32268000000011,0.984390000000331,0.365109999999968,0.0490700000006109,0.0552300000009018,0.0602300000011201,0.0422600000004059,0.0483000000008724,0.0545900000011534,0.0934900000000198,0.231720000000114,0.00223000000012689,0.621570000000011,0.0024799999998686,0.0353800000000592,0.0351899999998386,17.14,25
"12",0.5,10000,150,0.071670000000031,0.163809999999994,14.6804600000002,1.43683000000006,0.574990000000198,0.0788700000004428,0.0840500000010979,0.0890600000014638,0.0685400000001937,0.0719600000007267,0.0754900000009729,0.103520000000008,0.402870000000112,0.0065099999999984,0.864029999999966,0.00384000000005472,0.0598999999999796,0.0582500000000255,13.08,25
"13",1,50,10,0.00108000000003813,0.00157000000002881,0.00198000000003958,0.117420000000002,0.0026100000000406,0.000980000000108703,0.00128000000011525,0.0015300000001298,0.000460000000002765,0.000700000000033469,0.000910000000021682,0.00154000000004089,0.000310000000008586,1.99999999858846e-05,0.115549999999967,0.000730000000003201,0,1.00000000020373e-05,9.06,27.75
"14",1,50,100,0.00105999999996129,0.00550000000010186,0.0128900000000249,1.92845000000018,0.0106500000002416,0.00236000000033528,0.00334000000035303,0.00452000000042972,0.00145000000011351,0.00261000000018612,0.00363000000030297,0.00539000000011583,0.00148000000019238,0.00159999999998035,1.91989999999987,0.0020999999999367,8.00000000162981e-05,8.00000000162981e-05,11.64,25.75
"15",1,50,150,0.00117000000002008,0.00918999999999869,0.0231500000000779,4.19227000000019,0.0192700000001241,0.00275000000041473,0.00399000000054002,0.0050500000007014,0.00146000000006097,0.00261000000027707,0.00375000000043656,0.00904999999998836,0.00146000000020649,0.0050300000000243,4.17656999999999,0.00357999999996537,0.000159999999978027,0.00014999999993961,11.75,25.25
"16",1,100,10,0.00111999999995533,0.00206000000011045,0.00272999999993772,0.117170000000096,0.00318000000015672,0.000960000000050059,0.00132000000001426,0.00170000000003711,0.000490000000045256,0.000790000000051805,0.0011600000000908,0.00199000000009619,0.000350000000016735,4.99999999919964e-05,0.11476999999999,0.000750000000043656,1.00000000020373e-05,4.00000000081491e-05,9.1,26.5
"17",1,100,100,0.0012899999999172,0.00917000000023108,0.0250600000000304,1.95004000000052,0.0139200000004894,0.00280000000033397,0.00401000000041677,0.00511000000053173,0.00140000000017608,0.00280000000040673,0.00386000000056811,0.00896000000024287,0.00108000000020184,0.00168000000010579,1.93814999999995,0.00202999999995882,0.000170000000016444,0.000169999999980064,11.86,25
"18",1,100,150,0.00135000000005675,0.00808000000015454,0.0442499999999745,4.1463000000005,0.0205500000002758,0.00300000000041109,0.00417000000063126,0.00542000000086773,0.00152000000018234,0.00280000000037035,0.00394000000062078,0.00775000000014188,0.00401000000023487,0.00501000000003842,4.12930000000009,0.00347999999985404,0.000229999999992287,0.000300000000006548,11.77,25
"19",1,1000,10,0.00244000000006054,0.00338000000045213,0.0151099999998587,0.12309000000083,0.00523000000075626,0.00240000000023429,0.00361000000040804,0.00481000000045242,0.00158000000021275,0.00278000000043903,0.00395000000053187,0.00316000000046188,0.00100000000020373,8.00000000162981e-05,0.118690000000133,0.000800000000053842,0.000160000000014406,0.000190000000020518,9.14,25.5
"20",1,1000,100,0.00520999999995183,0.0109700000003068,0.354779999999973,1.93175000000054,0.030710000000563,0.0053000000004613,0.00664000000066153,0.00821000000092681,0.0043200000001525,0.00620000000031723,0.00801000000055865,0.00825000000035288,0.0160200000002442,0.00180999999993219,1.90323999999999,0.00232000000005428,0.00243000000002212,0.00230999999997948,16.91,25
"21",1,1000,150,0.00742999999998574,0.0119400000006317,0.904609999999375,3.2081800000003,0.055210000000352,0.010120000000461,0.0123700000007011,0.0107500000009168,0.00627000000007683,0.0077800000004936,0.00935000000077707,0.00698000000034881,0.034059999999954,0.00556999999989785,3.1569200000001,0.00398999999993976,0.00465000000000146,0.00461000000021158,15.16,25.25
