"","cvaR","cnm","cM","p.max","EMA.max","f.aic","OMA_solnp.max","OMA_osqp.max","CSL.max1","CSL.max2","CSL.max3","CSL2.max1","CSL2.max2","CSL2.max3","ols_sigma_df_est_per_site.max","em_per_site.max","center_agg","center_opt_solnp","center_opt_osqp","pred_OMA_solnp","pred_OMA_osqp","center_opt_solnp.round","center_opt_osqp.round"
"1",0.5,50,10,0.00234000000003562,0.00404000000013639,0.00696999999997843,0.13030000000012,0.00519000000012056,0.00151000000003478,0.00203000000003613,0.00259000000003653,0.000609999999996944,0.0011600000000044,0.00165000000000873,0.00402000000013231,0.000289999999986321,6.00000000031287e-05,0.125909999999999,0.000770000000006803,1.99999999995271e-05,4.99999999919964e-05,9.1,25
"2",0.5,50,100,0.0026299999999901,0.00792000000004009,0.0555399999999509,3.22269000000024,0.0127700000002278,0.00293000000038319,0.00415000000057717,0.00564000000074429,0.00167000000021289,0.00276000000036674,0.00408000000054926,0.00772000000003118,0.00132000000020071,0.00161999999999352,3.21189000000003,0.00199000000000069,0.000139999999992142,0.00012000000000171,11.89,25
"3",0.5,50,150,0.00247999999999138,0.0133500000000595,0.104709999999968,6.91609000000026,0.0233700000003046,0.00315000000041437,0.00434000000059768,0.00568000000077518,0.00175000000023829,0.00322000000041044,0.00458000000061475,0.013050000000062,0.00176000000018576,0.00483000000001084,6.89624999999999,0.00350000000003547,0.000200000000008913,0.000230000000010477,11.96,25
"4",0.5,100,10,0.00289999999996326,0.00397000000012213,0.00841000000001713,0.12781000000015,0.00536000000010063,0.00176000000002659,0.0025600000000486,0.00351000000002387,0.000980000000013206,0.00181999999999789,0.00255999999999858,0.00393000000012307,0.000470000000000255,5.99999999985812e-05,0.123290000000025,0.000859999999979664,6.00000000031287e-05,3.99999999990541e-05,9.07,25
"5",0.5,100,100,0.00293000000003758,0.0132900000000109,0.115369999999998,3.00469000000022,0.0187600000002612,0.00330000000040855,0.00487000000057378,0.00613000000077591,0.0018000000001939,0.00328000000039538,0.00466000000060376,0.0129200000000264,0.00187000000017633,0.0015800000000263,2.988,0.00202000000002499,0.000319999999992433,0.000370000000007167,12.65,25
"6",0.5,100,150,0.00304999999999836,0.0145200000000023,0.231959999999949,6.76937000000035,0.0277900000003092,0.00352000000044427,0.00509000000068227,0.00652000000084627,0.00204000000019732,0.00325000000043474,0.00479000000065298,0.0140400000000227,0.00443000000030224,0.00516000000000076,6.74531000000001,0.00360000000000127,0.00043000000001939,0.00055999999998221,12.13,25
"7",0.5,1000,10,0.00826999999998407,0.0101400000001286,0.0726399999999785,0.104140000000307,0.0120000000003529,0.00341000000036729,0.00523000000058346,0.0071100000008164,0.00271000000021104,0.00453000000041357,0.00663000000063221,0.00977000000011685,0.00102000000019871,3.00000000061118e-05,0.0930299999999806,0.000820000000039727,0.000290000000004511,0.000359999999991487,9.13,25
"8",0.5,1000,100,0.0134300000000167,0.0363300000000254,2.24488999999997,2.95689000000004,0.0614300000001094,0.0105600000003506,0.0126700000005576,0.0150200000007499,0.00810000000017226,0.0104300000003332,0.0133700000005138,0.0308400000000256,0.0216300000000274,0.00173000000001593,2.89723999999997,0.00207000000002608,0.00545000000000528,0.00516000000001441,18.21,25
"9",0.5,1000,150,0.0165399999999772,0.0422500000000036,3.78888999999999,5.20856,0.117969999999996,0.022350000000306,0.0218800000004194,0.0246400000006133,0.0130500000001621,0.0146700000003193,0.0206800000005478,0.0335099999999966,0.0620500000000311,0.0101800000000048,5.09437,0.00373999999997977,0.00844999999997071,0.00848999999998341,17.01,25
"10",0.5,10000,10,0.0746200000000272,0.0962000000000626,1.89000000000001,0.168180000000143,0.101890000000171,0.0250100000003476,0.0388400000005049,0.0496800000007715,0.0232100000002856,0.0359300000006124,0.0481800000008525,0.0905400000000463,0.00491000000010445,5.00000000056389e-05,0.067100000000014,0.000839999999993779,0.00557999999997264,0.0055500000000211,8.06,25
