"","cvaR","cnm","cM","p.max","EMA.max","f.aic","OMA_solnp.max","OMA_osqp.max","CSL.max1","CSL.max2","CSL.max3","CSL2.max1","CSL2.max2","CSL2.max3","ols_sigma_df_est_per_site.max","em_per_site.max","center_agg","center_opt_solnp","center_opt_osqp","pred_OMA_solnp","pred_OMA_osqp","center_opt_solnp.round","center_opt_osqp.round"
"1",0.5,50,10,0.00247999999990498,0.00368000000045868,0.00559000000001106,0.132330000000475,0.00496000000055574,0.00126999999998588,0.00177999999994427,0.0022899999999936,0.000720000000001164,0.00120999999995547,0.00174000000000888,0.00365000000045256,0.000490000000045256,3.00000000061118e-05,0.128119999999981,0.000780000000049768,3.99999999899592e-05,1.00000000020373e-05,9.06,25.5
"2",0.5,50,100,0.0025100000000748,0.0106700000000819,0.0590599999999722,2.93968000000035,0.01537000000033,0.00326000000037311,0.00447000000058324,0.00597000000085245,0.0016900000001624,0.00295000000027358,0.00430000000043947,0.0104400000000714,0.00107000000021799,0.00164000000006126,2.92638999999997,0.00204999999999927,0.000140000000028522,0.000169999999980064,12.54,25.25
"3",0.5,50,150,0.00263000000000829,0.01270999999997,0.104340000000211,6.42447000000015,0.0235900000000402,0.00329000000037922,0.00453000000055908,0.00568000000077518,0.00173000000017055,0.00311000000037893,0.00442000000046391,0.0123899999999776,0.00254000000017186,0.00485000000000582,6.40454000000001,0.00353999999990265,0.000149999999975989,0.000269999999982247,12.48,25
"4",0.5,100,10,0.00258000000007087,0.00393000000056418,0.00802000000005137,0.123080000000609,0.00514000000048327,0.00185999999986961,0.00256999999986874,0.00346999999981563,0.00092000000002372,0.00178000000018073,0.00256000000015774,0.00390000000055807,0.000429999999960273,4.00000000081491e-05,0.118670000000075,0.000719999999946595,4.00000000081491e-05,5.00000000101863e-05,9.07,25.25
"5",0.5,100,100,0.00321999999994659,0.0137699999999859,0.119180000000051,2.5119600000002,0.0193100000000595,0.00337000000035914,0.00490000000059808,0.00640000000081272,0.00197000000027401,0.003280000000359,0.00473000000058164,0.013389999999963,0.00199000000020533,0.0015099999999984,2.49476000000002,0.00203999999992448,0.000310000000008586,0.000379999999968277,11.81,25
"6",0.5,100,150,0.0031600000000617,0.0168500000000495,0.227640000000192,5.70344000000041,0.0305100000004131,0.00335000000033688,0.00518000000045504,0.00646000000064305,0.00237000000019179,0.00390000000043074,0.00541000000064741,0.0164100000000508,0.00494000000036976,0.00504000000008091,5.67659999999989,0.00361999999991895,0.000450000000018917,0.000499999999992724,12.19,25
"7",0.5,1000,10,0.00828999999994267,0.0102900000004774,0.071150000000016,0.127890000000589,0.0121600000007675,0.00339000000047236,0.00545000000061918,0.00722000000097978,0.00252000000022235,0.00461000000041167,0.00650000000054206,0.00985000000047876,0.00100000000020373,6.99999999778811e-05,0.116669999999958,0.000800000000090222,0.000299999999970169,0.00044000000001688,9.21,25
"8",0.5,1000,100,0.013380000000252,0.0325500000001375,2.24993999999993,2.71347000000011,0.0574900000000525,0.012210000000232,0.0140800000005947,0.0168500000006861,0.00769000000020242,0.00963000000054308,0.0143100000006234,0.0269900000001144,0.0213600000000042,0.00173999999999069,2.65812000000002,0.00222999999999956,0.00525999999998021,0.00516999999994368,14.04,25
"9",0.5,1000,150,0.0167699999998877,0.0447000000001026,4.2939199999998,6.22986000000021,0.135230000000302,0.0177400000003217,0.0201700000005985,0.0235100000007878,0.011699999999928,0.0142000000002372,0.01666000000032,0.0360600000000886,0.0797500000000946,0.0074000000000342,6.09827999999992,0.00362000000011903,0.0083700000000681,0.00839999999996508,16.39,25
"10",0.5,10000,10,0.0771200000000681,0.0955300000002717,1.86899000000007,0.190740000000751,0.106280000000697,0.0245500000012726,0.0376400000022295,0.0502300000033392,0.0227200000012454,0.0351500000023043,0.0473800000031042,0.0899700000002122,0.00992000000051121,7.99999999799184e-05,0.0853499999999985,0.000899999999983265,0.00542000000004919,0.00541000000001077,9.43,25
"11",0.5,10000,100,0.135590000000011,0.258349999999882,36.7588500000001,1.52924999999996,0.457239999999802,0.101540000001696,0.117060000002584,0.131200000003519,0.0849200000010023,0.100650000001933,0.113470000002853,0.191879999999928,0.197119999999995,0.00195000000001528,1.07424999999996,0.00229999999990469,0.0640500000000611,0.0639899999999579,23.24,25
"12",0.5,10000,150,0.178499999999913,0.33485999999999,61.6934099999999,1.84321000000016,0.712700000000605,0.14216000000135,0.160300000002189,0.178640000002906,0.12825000000099,0.144660000001459,0.167220000002399,0.231360000000077,0.368510000000151,0.00593000000000757,1.13408999999994,0.00371000000021013,0.103319999999985,0.103190000000159,13.79,25
