"","cvaR","cnm","cM","p.max","EMA.max","f","OMA_solnp.max","OMA_osqp.max","CSLcv.max","CSLall.max","CSLall_perlambda.max","adalasso_est_per_site.max","em_df_sigma_per_site.max","center_agg","center_opt_solnp","center_opt_osqp","pred_OMA_solnp","pred_OMA_osqp","center_opt_solnp.round","center_opt_osqp.round"
"1",0.5,50,10,0.0586300000001211,0.0721899999999732,0.0623200000000361,0.200959999999759,0.073940000001021,199.030769999999,19.8074199999985,0.256850499998598,0.0721700000000419,0.000920000000187429,2.00000000768341e-05,0.12780999999959,0.000810000000637956,3.99999998626299e-05,2.00000000768341e-05,9.44,25
"2",0.5,50,100,0.0600200000002224,0.111430000000109,0.150499999999738,2.60341999999902,0.128599999998114,198.744540000004,19.7955500000036,0.258840500004156,0.111190000000061,0.0134200000001874,0.00156999999846448,2.47714000000051,0.00224999999976717,9.9999999802094e-05,0.000169999999634456,11.75,28.75
"3",0.5,100,10,0.0580899999992107,0.079299999999057,0.0700400000002992,0.208520000001736,0.0812200000017765,200.753549999999,19.8718099999997,0.258622999999199,0.079249999999156,0.00100000000282307,4.00000000081491e-05,0.128190000000031,0.000879999999597203,3.99999997171108e-05,5.00000001920853e-05,9.06,25
"4",0.5,100,100,0.0564600000002247,0.122170000000042,0.245940000000264,2.5961100000015,0.140610000001325,201.131450000004,20.0519300000033,0.258671900003741,0.121790000000037,0.0140700000010838,0.00217000000091502,2.45778999999966,0.00220999999990454,0.000289999999804422,0.000369999999384163,12.42,26
"5",0.5,1000,10,0.0677899999992223,0.106359999999841,0.195600000000122,0.23522000000492,0.111890000005078,240.719840000005,24.568890000005,0.316553100004619,0.105849999999919,0.00480000000505243,4.00000001536682e-05,0.124190000000672,0.000789999999396969,0.000339999999123393,0.000410000000556465,9.14,25
"6",0.5,1000,100,0.0739499999998952,0.246770000001125,2.82206999999908,2.98915000000066,0.348849999999657,241.714240000002,25.4269200000037,0.322490100002951,0.241389999999665,0.0976399999999558,0.00224000000045635,2.64264000000039,0.00245999999955529,0.00524000000019441,0.00512000000002445,12.97,25.25
"7",1,50,10,0.060109999999404,0.0723499999994238,0.0614799999997194,0.20603000000061,0.0741000000014901,199.20081,19.8372399999989,0.260217699999874,0.072319999999454,0.000940000001573935,2.00000000768341e-05,0.132719999999536,0.000770000000338769,2.9999999969732e-05,5.00000000465661e-05,9.41,25
"8",1,50,100,0.0609100000010221,0.133699999999371,0.138880000000499,2.63693999999799,0.151499999997031,198.833310000004,19.8684700000031,0.260559700003777,0.133479999999836,0.0140099999989616,0.00165999999895575,2.48758000000031,0.00218999999968219,0.000209999999933643,0.000159999999596039,11.85,26.5
"9",1,100,10,0.0580599999990955,0.0753000000001339,0.0671399999994901,0.205000000002183,0.0771500000047672,200.630999999999,19.9827,0.257494499999251,0.075280000000057,0.00100000000369619,1.00000000384171e-05,0.128679999998567,0.000820000000821892,2.99999998242129e-05,4.00000001536682e-05,9.05,25.25
"10",1,100,100,0.0638899999987916,0.104929999999877,0.237780000001367,2.58570999999996,0.122370000002265,200.211410000018,20.0238600000186,0.256737900019728,0.104680000000226,0.0132500000018626,0.00194999999977881,2.46543999999791,0.00216999999975087,0.000390000000188593,0.000320000000647269,12.59,25.25
"11",1,1000,10,0.0691600000008475,0.0883199999996577,0.193660000000673,0.218200000005309,0.0941200000030221,240.383280000019,24.5410000000149,0.314551600018557,0.0879399999999441,0.00491000000416534,5.00000000465661e-05,0.124980000001087,0.00087999999843305,0.000320000000065193,0.000340000000433065,9.07,25.5
"12",1,1000,100,0.0807500000027358,0.288049999994982,2.7724000000002,2.95655999999697,0.374150000001246,243.327840000018,25.2998800000199,0.324674800019412,0.282609999997949,0.0820300000012503,0.00202999999892199,2.58468000000168,0.00227000000100816,0.00520999999716878,0.00521000000211643,13.31,25
"13",123,50,10,0.0611000000007334,0.0712400000012713,0.0624799999996321,0.199130000002915,0.0731800000017392,199.680030000002,19.8107600000009,0.257408600001934,0.0712300000013784,0.000990000000747386,5.00000000465661e-05,0.126850000000559,0.000859999999229331,1.00000001839362e-05,5.00000003376044e-05,9.47,25
"14",123,50,100,0.0626400000011199,0.114610000003595,0.145529999999271,2.66155000000115,0.132700000002224,200.589240000017,19.8771800000203,0.263220800018447,0.114400000001478,0.014000000001397,0.0018699999988894,2.5311500000002,0.00225999999995111,0.000129999999189749,0.000170000000507571,12.22,26.5
"15",123,100,10,0.0596400000000722,0.0695400000008522,0.067300000001851,0.197700000009208,0.071400000009744,201.212149999999,19.9018599999984,0.257289999996801,0.0695100000005914,0.00101000000984641,1.99999997857958e-05,0.127119999999122,0.000819999999657739,3.99999998626299e-05,3.99999998626299e-05,9.04,25
"16",123,100,100,0.083619999998773,0.139500000000407,0.325200000000477,3.56086000000127,0.167239999999874,276.840630000019,26.9697300000209,0.348422100020282,0.139060000001045,0.022520000001241,0.00223999999754596,3.39632000000041,0.00294000000110827,0.000720000001019798,0.000479999998933636,12.33,25
"17",123,1000,10,0.078509999999369,0.119940000001516,0.212459999999264,0.268000000005704,0.126030000003229,262.065970000018,25.269860000019,0.333967700018079,0.119510000000882,0.00514000000373926,2.9999999969732e-05,0.143000000001048,0.000969999998924322,0.000320000000065193,0.000379999999713618,9.31,26.25
"18",123,1000,100,0.0746500000017113,0.279819999997562,2.80195000000182,2.91602999999916,0.370290000003588,244.439930000019,26.7042100000175,0.341262400017781,0.274109999999637,0.0860399999999208,0.00216000000189524,2.54813999999809,0.002410000001546,0.00557999999960884,0.00557000000058906,13.04,25
