"","cvaR","cnm","cM","p.ave","p.max","EMA.ave","EMA.max","f.large","f.aic","f.bic","OMA.ave","OMA.max","CSL.ave1","CSL.ave2","CSL.ave3","CSL.max1","CSL.max2","CSL.max3","CSL2.ave1","CSL2.ave2","CSL2.ave3","CSL2.max1","CSL2.max2","CSL2.max3","CSL3.ave1","CSL3.ave2","CSL3.ave3","CSL3.max1","CSL3.max2","CSL3.max3","CSL4.ave1","CSL4.ave2","CSL4.ave3","CSL4.max1","CSL4.max2","CSL4.max3"
"1",0.5,50,10,0.030926,0.28563,0.030906,0.28561,0.000580000000000012,0.00578000000000001,0.00583999999999998,0.215686,0.47075,0.031534,0.031804,0.032142,0.28657,0.2872,0.28797,0.00480599999999999,0.00522200000000002,0.00557200000000002,0.00511999999999999,0.00594000000000003,0.00665,0.060621,0.0904160000000001,0.11923,0.31564,0.34584,0.37496,0.0602770000000001,0.060823,0.0612250000000001,0.31535,0.31622,0.317
"2",0.5,50,100,0.00245280000000007,0.0084200000000002,0.00247279999999996,0.00844000000000008,0.0481700000000002,0.0780200000000001,0.0781099999999999,4.2001295,4.21403,0.00332899999999993,0.0036246999999999,0.00408199999999967,0.0103000000000016,0.0115900000000029,0.0131100000000041,0.00274580000000014,0.00326130000000005,0.00358919999999989,0.00372000000000171,0.00527000000000306,0.00668000000000435,0.0283497999999997,0.0559452999999996,0.0804423999999997,0.0353700000000014,0.0639800000000027,0.0895300000000043,0.0284991999999998,0.0289242999999999,0.0293688999999996,0.0355500000000014,0.0369600000000029,0.0383700000000041
"3",0.5,50,150,0.00239673333333363,0.00942000000000071,0.00240673333333304,0.00943000000000012,0.0943300000000002,0.143269999999999,0.15142,6.65413293333333,6.72091,0.00318400000000054,0.00386986666666754,0.00420713333333407,0.0112400000000054,0.0130300000000101,0.0145000000000143,0.00276526666666651,0.00340980000000029,0.00388553333333408,0.00512000000000434,0.00804000000000919,0.00956000000001417,0.0282914000000006,0.0540967333333337,0.0789704666666664,0.0363400000000055,0.06313000000001,0.089030000000014,0.0299244666666668,0.0303711333333343,0.0308460000000015,0.0381800000000049,0.0398200000000099,0.0413700000000151
"4",0.5,100,10,0.00246800000000029,0.00364000000000047,0.00238800000000005,0.00356000000000023,0.00104000000000013,0.00908000000000044,0.00881,0.158282,0.15994,0.00318699999999976,0.00373399999999999,0.00417299999999913,0.00497999999999919,0.00603999999999971,0.00700999999999908,0.00308000000000077,0.00344500000000177,0.00380600000000109,0.00362000000000066,0.00457000000000164,0.00557000000000031,0.0215550000000006,0.0398049999999999,0.058377,0.0233300000000013,0.0422900000000014,0.0615100000000011,0.020901000000001,0.0213610000000009,0.0218150000000009,0.0226400000000017,0.0237300000000008,0.0247600000000013
"5",0.5,100,100,0.00295570000000029,0.0173000000000006,0.00285569999999995,0.0172000000000003,0.0858499999999991,0.159390000000001,0.163799999999998,3.7747974,3.7946,0.00368770000000003,0.00427690000000039,0.00473740000000025,0.019020000000005,0.02055000000001,0.0220000000000145,0.00312129999999965,0.00364220000000038,0.00406400000000019,0.00423000000000428,0.00578000000000969,0.00730000000001411,0.0220630000000017,0.0405338000000006,0.0592952000000006,0.0373800000000067,0.0568700000000103,0.0766500000000147,0.0217533000000003,0.0220343000000006,0.0225356000000003,0.0370600000000054,0.0383500000000106,0.039980000000015
"6",0.5,100,150,0.0032728666666649,0.01252,0.00305286666666811,0.0123000000000032,0.211700000000001,0.346000000000001,0.339859999999999,6.50175653333333,6.54023,0.00398326666666838,0.00456293333333449,0.00504206666666651,0.0142500000000079,0.0158100000000118,0.0172800000000153,0.00364973333333181,0.0056200666666667,0.00465079999999962,0.00467000000000311,0.00767000000000905,0.00779000000001318,0.0221216000000012,0.0419508666666673,0.0603501999999995,0.0323600000000074,0.0531500000000116,0.0724800000000153,0.0216110000000016,0.0223221333333335,0.0228216666666653,0.031830000000008,0.0336600000000109,0.0353700000000137
"7",0.5,1000,10,0.00946499999999983,0.0145600000000019,0.00935499999999959,0.0144500000000016,0.0175700000000009,0.11096,0.095990000000001,0.117646999999998,0.123460000000004,0.011531999999999,0.0132439999999993,0.0150090000000034,0.0169000000000057,0.0189000000000109,0.0209000000000199,0.0110309999999974,0.0128449999999984,0.0145899999999973,0.0112700000000021,0.0133600000000078,0.0153500000000113,0.0359520000000017,0.0618730000000016,0.0874519999999996,0.0413100000000085,0.0674800000000133,0.0933500000000157,0.0352729999999991,0.0369210000000009,0.0386450000000013,0.0406500000000057,0.0425700000000123,0.0445700000000176
"8",0.5,1000,100,0.0159585000000004,0.0354500000000036,0.0158985000000001,0.0353900000000033,1.2504,3.18155,3.16883,3.7970313,3.86736000000001,0.0180720999999969,0.0198774999999992,0.0217522999999969,0.0385300000000052,0.0408300000000116,0.0432300000000134,0.0174829000000021,0.0191633000000008,0.0210956999999997,0.0180600000000067,0.0201400000000098,0.0227000000000129,0.043850299999999,0.0717255999999995,0.0987337999999957,0.0638600000000068,0.0920800000000119,0.119880000000013,0.0418064999999995,0.0437520000000004,0.045444499999997,0.0621400000000074,0.0646800000000133,0.0667000000000147
"9",0.5,1000,150,0.0197165333333383,0.0473500000000081,0.0196265333333319,0.0472600000000017,2.54123,5.52875,5.45647,4.67587513333333,4.73807000000001,0.0218111333333333,0.0242505999999952,0.0256246666666637,0.0502600000000342,0.0533600000000609,0.0561000000000922,0.0216509333333324,0.023099599999999,0.0252362666666653,0.0243500000000287,0.0267200000000591,0.0296100000000885,0.046846599999999,0.0731457333333387,0.0998249333333349,0.0755700000000331,0.10305000000007,0.130850000000095,0.0464556000000015,0.0483408666666627,0.050035199999997,0.075510000000034,0.0782700000000591,0.0807700000000909
"10",0.5,10000,10,0.0925590000000017,0.108750000000002,0.0924489999999992,0.108639999999999,0.283120000000002,2.54959,2.42973,0.17026,0.187690000000009,0.108050999999997,0.123237,0.138593999999997,0.124970000000016,0.140790000000038,0.157020000000052,0.106538,0.121424999999998,0.136447999999996,0.107300000000017,0.122910000000029,0.13870000000005,0.243503999999999,0.394158999999994,0.544338999999997,0.260560000000011,0.412010000000022,0.563070000000039,0.242343999999994,0.257090999999997,0.271959999999995,0.259180000000018,0.274810000000047,0.290540000000068
