"","cvaR","cnm","cM","p.ave","p.max","EMA.ave","EMA.max","f.large","f.aic","f.bic","OMA.ave","OMA.max","CSL.ave1","CSL.ave2","CSL.ave3","CSL.max1","CSL.max2","CSL.max3","CSL2.ave1","CSL2.ave2","CSL2.ave3","CSL2.max1","CSL2.max2","CSL2.max3","CSL3.ave1","CSL3.ave2","CSL3.ave3","CSL3.max1","CSL3.max2","CSL3.max3","CSL4.ave1","CSL4.ave2","CSL4.ave3","CSL4.max1","CSL4.max2","CSL4.max3"
"1",0.5,50,10,0.030047,0.29164,0.030047,0.29164,0.000329999999999964,0.00171000000000005,0.00184999999999999,0.195612,0.45752,0.03032,0.030569,0.030714,0.29203,0.29245,0.29273,0.00111800000000007,0.00122800000000006,0.00136100000000008,0.00128000000000006,0.00157000000000005,0.00182000000000007,0.039815,0.049951,0.06013,0.30157,0.31185,0.3222,0.040333,0.040616,0.040811,0.30216,0.30265,0.30298
"2",0.5,50,100,0.0010566,0.00621000000000053,0.00108660000000007,0.0062400000000006,0.0144900000000001,0.02192,0.0202499999999999,2.813865,2.82486,0.00163229999999994,0.00181909999999994,0.00203609999999994,0.00771000000000096,0.00886000000000143,0.010040000000002,0.00110719999999987,0.00140399999999992,0.00165039999999999,0.00209000000000031,0.00335000000000086,0.00455000000000143,0.0105648000000001,0.0199429000000001,0.0293104,0.017780000000001,0.0281000000000017,0.0384100000000023,0.0118435,0.0119903000000001,0.0123199,0.0179200000000013,0.0189800000000018,0.0203200000000022
"3",0.5,50,150,0.00108619999999998,0.00385000000000101,0.00102620000000012,0.00379000000000115,0.0266999999999999,0.0356600000000002,0.0362400000000002,4.4041854,4.44182,0.00159206666666649,0.00180886666666649,0.00195506666666651,0.00534000000000258,0.00650000000000549,0.00764000000000816,0.0012766000000003,0.00155313333333363,0.00183920000000044,0.00226000000000251,0.00354000000000489,0.00478000000000758,0.0105119333333329,0.0195581999999998,0.0285864666666668,0.014240000000003,0.0242600000000054,0.0343400000000084,0.0103929333333339,0.0107296000000002,0.0109674666666674,0.0141200000000035,0.0154800000000055,0.0166900000000083
"4",0.5,100,10,0.000972999999999992,0.00122000000000412,0.000992999999999874,0.001240000000004,0.000529999999999902,0.00264999999999986,0.00246999999999936,0.152811,0.153490000000005,0.0012959999999998,0.00151599999999969,0.00168299999999964,0.00184000000000445,0.00233000000000416,0.00274000000000399,0.00118199999999975,0.00132399999999962,0.00154099999999989,0.00146999999999984,0.00180999999999983,0.00227000000000011,0.00924299999999972,0.0175320000000005,0.0255420000000001,0.00967000000000368,0.0182200000000044,0.026500000000004,0.00926599999999993,0.00939899999999979,0.00967399999999972,0.00981000000000414,0.0102400000000042,0.0107400000000042
"5",0.5,100,100,0.00126820000000043,0.00491000000000213,0.00118820000000026,0.00483000000000196,0.0273400000000004,0.0412499999999991,0.0387999999999995,2.7445671,2.75316,0.00184539999999993,0.00196239999999958,0.0023800999999991,0.00650000000000524,0.00758000000000877,0.00897000000001228,0.00133690000000021,0.00172270000000022,0.00195840000000044,0.00230000000000395,0.00365000000000741,0.00485000000001143,0.00985480000000002,0.0179533999999998,0.0261198999999995,0.0144900000000057,0.0235800000000092,0.0326900000000126,0.00967440000000066,0.0100431000000002,0.0101506000000007,0.0142500000000063,0.01564000000001,0.0167700000000143
"6",0.5,100,150,0.00127279999999954,0.0047999999999999,0.00127279999999969,0.00480000000000004,0.0626500000000006,0.0780499999999996,0.0800600000000004,4.36187753333333,4.40901,0.00183006666666647,0.00205646666666558,0.00243366666666583,0.00633000000000479,0.00753000000000839,0.00889000000001317,0.00161599999999977,0.00200239999999964,0.00236879999999956,0.00259000000000455,0.00395000000000891,0.00532000000001332,0.00976939999999977,0.0180458666666667,0.0264726000000004,0.0142700000000049,0.0235600000000099,0.0329800000000149,0.00986913333333415,0.0101060666666666,0.0104238666666666,0.0144100000000059,0.0156500000000096,0.016950000000014
"7",0.5,1000,10,0.00278899999999935,0.00509000000000043,0.00268899999999958,0.00499000000000066,0.00557000000000059,0.02265,0.0209600000000005,0.134785999999999,0.138050000000005,0.00367299999999851,0.00426699999999823,0.00484899999999885,0.00677000000000433,0.00818000000000865,0.00955000000001391,0.00301299999999893,0.00358399999999861,0.00438299999999821,0.00380000000000322,0.00516000000000716,0.00677000000001115,0.0133809999999992,0.0236639999999985,0.0337829999999997,0.016560000000004,0.0276200000000075,0.0385200000000134,0.013146,0.0135820000000005,0.0142909999999996,0.0162200000000058,0.0174300000000109,0.0189300000000144
"8",0.5,1000,100,0.00764529999999945,0.0186300000000008,0.00600529999999702,0.0169899999999984,0.480580000000001,0.678700000000001,0.68668,2.4790245,2.49852,0.0066331999999995,0.00730019999999721,0.00788649999999753,0.0184700000000056,0.019950000000008,0.021360000000013,0.00625610000000092,0.00706320000000226,0.00767660000000256,0.00704000000000562,0.00877000000001146,0.0101700000000166,0.0166795999999976,0.0275330999999976,0.0420354999999969,0.0285500000000037,0.0402800000000083,0.0555600000000123,0.0178974000000002,0.0187502000000002,0.0181857000000024,0.0296800000000064,0.0314300000000111,0.0318600000000177
"9",0.5,1000,150,0.00849959999999883,0.0206700000000021,0.00846960000000181,0.020640000000005,0.830849999999998,1.29588,1.2756,2.98455586666667,3.08826000000001,0.00924013333333402,0.0098574666666658,0.0108365333333309,0.0225400000000087,0.0240200000000121,0.0259300000000152,0.0087964666666678,0.0094845999999982,0.0116997333333331,0.00957000000000591,0.0112100000000075,0.0142000000000138,0.0193354000000026,0.0301742000000004,0.041459,0.0323400000000106,0.0444300000000129,0.056600000000017,0.0193057999999996,0.0198724666666656,0.0206399333333335,0.0323800000000077,0.0338300000000115,0.035710000000017
"10",0.5,10000,10,0.0217269999999971,0.0362099999999973,0.0215670000000011,0.0360500000000013,0.0845499999999998,0.43313,0.365239999999999,0.0997570000000015,0.118720000000008,0.0259520000000007,0.0317139999999965,0.0347829999999947,0.0412200000000084,0.0479500000000098,0.0517500000000172,0.0245460000000001,0.0290690000000003,0.0332939999999986,0.0252900000000099,0.0307400000000169,0.0357100000000233,0.068270000000002,0.114251000000002,0.158275000000001,0.0837000000000091,0.130510000000018,0.175330000000023,0.0653419999999978,0.0696469999999992,0.0740179999999959,0.0807600000000062,0.0859400000000127,0.091050000000015
"11",0.5,10000,100,0.0610210999999999,0.135160000000004,0.0610410999999989,0.135180000000003,5.65431999999999,10.98753,10.53983,0.614005999999995,0.78631,0.06598140000001,0.0703709000000043,0.0775378000000048,0.14222000000005,0.149960000000075,0.159870000000111,0.0681158000000048,0.0722389999999951,0.0749305000000062,0.0707600000000409,0.0771300000000676,0.0825800000001115,0.107947200000005,0.154431500000001,0.194348500000005,0.184560000000042,0.233410000000072,0.275570000000113,0.108311800000008,0.109519599999999,0.1145307,0.184720000000046,0.18884000000007,0.196620000000109
"12",0.5,10000,150,0.091729199999989,0.153739999999998,0.0911891999999961,0.153200000000005,11.11621,19.05434,18.29401,0.995286533333324,1.18691000000001,0.0950489333333349,0.100041666666663,0.105916000000011,0.158030000000085,0.164920000000153,0.173190000000237,0.09402919999999,0.0991057333333327,0.104018999999998,0.0962900000000616,0.103350000000146,0.110120000000222,0.13504426666669,0.182923999999986,0.230925199999993,0.199170000000111,0.248630000000148,0.298980000000229,0.140036466666679,0.148223533333357,0.14799780000002,0.204350000000093,0.213470000000184,0.215970000000258
"13",1,50,10,0.00076200000000108,0.00116000000013173,0.000761999999998807,0.00116000000012946,0.000249999999994088,0.00160000000000991,0.00166000000000167,0.134871000000005,0.135530000000135,0.00107599999999843,0.00121000000000072,0.00138300000000163,0.00160000000012815,0.00186000000013564,0.00215000000013788,0.000893000000003894,0.0010070000000037,0.00113900000000558,0.00101000000000113,0.00125,0.00149000000000342,0.00895699999999169,0.0174499999999709,0.0277449999999847,0.0094900000001212,0.0181900000000996,0.0286200000001122,0.00913800000001015,0.0093420000000101,0.00939500000000908,0.00968000000013944,0.0100100000001385,0.0101800000001367
"14",1,50,100,0.00087899999999936,0.00683000000007041,0.000799000000001252,0.0067500000000723,0.0081499999999869,0.015160000000003,0.0158000000000084,2.27104270000002,2.27794000000028,0.00126319999999509,0.00152639999999369,0.00190089999998982,0.0081300000000715,0.00927000000007638,0.0105500000000939,0.00112529999999647,0.0013764000000021,0.00159939999999931,0.00208000000000766,0.00316000000001395,0.00423000000001139,0.00930110000000973,0.0170582999999972,0.0251554999999905,0.0160700000000952,0.0250700000000916,0.0342400000001135,0.00895459999999066,0.00918909999998998,0.00941349999999409,0.0158800000000747,0.0170200000000841,0.0181800000000976
"15",1,50,150,0.000953933333332407,0.00464000000008127,0.000883933333331788,0.00457000000008065,0.0161299999999892,0.0268499999999835,0.02877000000002,3.67808233333335,3.68405000000025,0.00129806666665789,0.00164113333333036,0.00177539999999873,0.0059500000000935,0.00722000000011803,0.00833000000014636,0.00116313333332202,0.00145679999999123,0.00165059999998925,0.00212000000000671,0.00338000000004513,0.00454000000006999,0.009407866666673,0.0176920666666662,0.0258163333333434,0.0141100000001006,0.0233900000001267,0.0324900000001571,0.0092389999999922,0.00959346666665988,0.0097177999999974,0.0139200000000983,0.0152400000001217,0.0162700000001496
"16",1,100,10,0.000850999999997839,0.00125000000012051,0.000860999999999876,0.00126000000012255,0.000550000000014279,0.00246999999999844,0.00218999999998459,0.126247999999982,0.126890000000103,0.00121199999999681,0.00138399999999979,0.00157199999999807,0.00180000000012114,0.00217000000012149,0.00252000000012004,0.00104200000000083,0.00117900000000236,0.00139100000000417,0.00124000000000024,0.0015300000000002,0.00193999999999733,0.00770900000001143,0.0147280000000253,0.0214360000000056,0.00827000000013641,0.0154600000001483,0.0223300000001268,0.00788299999999185,0.00801899999999796,0.00818299999999499,0.00848000000012007,0.00894000000012056,0.00932000000012067
"17",1,100,100,0.000988500000002114,0.00298000000014099,0.0010684999999934,0.00306000000013228,0.0141399999999976,0.0260699999999997,0.0255600000000072,2.24507470000001,2.24813000000032,0.00154950000000745,0.00175109999998965,0.00207389999999168,0.00450000000016416,0.00568000000018401,0.00710000000021637,0.00117169999999089,0.00154299999999171,0.00165499999998735,0.00214000000000851,0.00349000000003571,0.00462000000006356,0.00802960000000442,0.0152124000000033,0.0221934000000093,0.0109900000001744,0.0191400000001977,0.0270500000002357,0.00845170000001037,0.00856460000001057,0.00888720000001251,0.0114500000001817,0.0125500000002148,0.0138400000002412
"18",1,100,150,0.00118146666665925,0.00484000000005835,0.000991466666661472,0.00465000000006057,0.0321000000000095,0.0516699999999923,0.0551100000000201,3.66006953333333,3.66632000000021,0.00154433333332704,0.00171799999999694,0.00201053333333075,0.00617000000012695,0.00732000000018388,0.00860000000024684,0.00140280000000146,0.00153453333334578,0.0018074666666868,0.00249000000005481,0.00360000000011041,0.00488000000016882,0.00884386666666734,0.0161778666666787,0.0235103333333452,0.0135300000001234,0.0219700000001967,0.0302800000002367,0.00848513333332879,0.00867753333332488,0.0089299333333309,0.0132400000001076,0.0144100000001754,0.0156400000002509
"19",1,1000,10,0.00205600000000686,0.00240000000009104,0.00199600000000373,0.00234000000008791,0.00317000000000462,0.0147799999999938,0.0144299999999976,0.124682999999983,0.125790000000109,0.00262500000000091,0.00316699999999651,0.00360400000000641,0.00379000000011274,0.00515000000012378,0.0064100000001531,0.00246099999999819,0.00293799999999396,0.0032939999999985,0.00336000000001377,0.00465000000003329,0.00583000000005313,0.0106190000000142,0.0187260000000181,0.0269199999999973,0.0117800000001057,0.0208500000001277,0.0298600000001306,0.0104530000000109,0.0108440000000082,0.0115550000000051,0.0116100000001188,0.0128200000001152,0.0143500000001336
"20",1,1000,100,0.00599299999999359,0.00873000000006414,0.00531299999998921,0.00805000000005975,0.27963,0.524520000000002,0.490059999999987,2.330686,2.34166000000007,0.00585570000000155,0.00641539999999086,0.00698200000000024,0.00969000000027336,0.0110500000004663,0.0124600000006762,0.00540609999999979,0.00609119999998807,0.00652629999999842,0.00621000000020103,0.00774000000038995,0.00899000000060141,0.0148085000000081,0.0241206000000174,0.0334466000000129,0.0185700000002794,0.0286900000004903,0.0389800000006835,0.0147457999999981,0.015249099999993,0.0158321999999976,0.0183400000002689,0.0196500000004676,0.0210400000006757
"21",1,1000,150,0.00854193333332132,0.0135700000000247,0.00851193333334477,0.0135400000000482,0.669309999999982,1.22277000000003,1.13135999999996,3.90112813333334,3.91715000000008,0.0108231333333298,0.0102716666666839,0.0109256000000115,0.0170000000002324,0.0174000000004548,0.01886000000065,0.00896579999999115,0.00948213333336303,0.0101053333333172,0.0099700000001917,0.011570000000429,0.0129700000005869,0.0194050000000275,0.0300180666666599,0.0406792000000329,0.0252400000002626,0.0366500000004294,0.0480900000006727,0.0192581333333278,0.0200319333333329,0.0207163333333359,0.0255700000002298,0.0272200000004295,0.0288800000006336
"22",1,10000,10,0.0205419999999801,0.0267599999999766,0.0205420000000006,0.026759999999997,0.0688699999999949,0.381080000000002,0.35620999999999,0.104238000000012,0.11407000000009,0.0249800000000002,0.0294440000000084,0.0338969999999983,0.0320300000000611,0.0372300000001405,0.0426200000002086,0.0245689999999859,0.0289869999999796,0.0333719999999696,0.0253200000000493,0.0306100000001175,0.035770000000166,0.066066000000023,0.109336000000008,0.15439000000002,0.0730400000000805,0.117170000000128,0.163040000000206,0.0645160000000235,0.0687579999999868,0.0728120000000204,0.0714900000000694,0.0765500000001043,0.0813000000001784
"23",1,10000,100,0.0670081999999832,0.137139999999986,0.0664881999999978,0.13662,5.36271,9.72922000000002,9.39973999999998,0.67019259999999,0.863409999999992,0.0713527999999857,0.0764370999999795,0.082410899999984,0.144600000000121,0.151070000000263,0.159160000000409,0.0768959999999919,0.0804399000000153,0.0891352000000168,0.0787100000001374,0.0841900000003011,0.0950700000004417,0.115342500000007,0.158427399999977,0.199184699999989,0.188080000000139,0.233630000000235,0.275760000000384,0.113810300000018,0.115085599999984,0.120151399999998,0.186220000000158,0.189940000000261,0.19753000000042
"24",1,10000,150,0.0907780000000065,0.14809000000002,0.091608000000005,0.148920000000019,11.44051,18.79574,18.27707,1.05792339999998,1.25909,0.0961553999999957,0.100795333333342,0.10509999999998,0.155320000000172,0.162410000000341,0.16951000000046,0.0951827333333317,0.100493066666635,0.105721199999986,0.0973000000001434,0.104960000000265,0.112420000000436,0.137775533333372,0.182761333333388,0.225897133333399,0.1972300000002,0.244020000000376,0.289410000000537,0.139611733333351,0.140814533333373,0.147207400000031,0.199190000000192,0.202820000000349,0.210330000000497
"25",123,50,10,0.000929000000005999,0.00163000000017746,0.000919000000008509,0.00162000000017997,0.000409999999988031,0.00202000000000226,0.00175999999999021,0.160712000000006,0.161620000000171,0.00131700000000092,0.00144600000000992,0.00163100000000713,0.00218000000018492,0.00248000000019601,0.0028000000001839,0.000991999999994277,0.00121800000001076,0.00133400000000347,0.00119000000000597,0.00156000000003132,0.00182000000002063,0.0102550000000019,0.0196220000000103,0.0306400000000262,0.0111000000001741,0.0206200000001809,0.0318000000001848,0.0101140000000355,0.010410000000024,0.0105840000000117,0.0109500000001935,0.0113900000001786,0.0116900000001715
"26",123,50,100,0.00101320000000701,0.00411000000011427,0.000923200000002316,0.00402000000010958,0.00871000000000549,0.0167200000000048,0.0162099999999964,2.68027229999999,2.68464000000029,0.00142860000000246,0.00166619999999252,0.00186190000001106,0.00539000000022952,0.00659000000033757,0.00773000000045613,0.00119480000000835,0.00144950000002559,0.00169600000002238,0.00210000000010496,0.0032100000002356,0.0044000000003507,0.0108392000000048,0.020376099999998,0.0294122000000165,0.0148000000002366,0.0253400000003376,0.0352800000004618,0.0103293000000052,0.0105854000000179,0.0108229000000353,0.0143400000002157,0.0155000000003474,0.0167000000004782
"27",123,50,150,0.00109940000000045,0.00545000000007349,0.001049400000013,0.00540000000008604,0.0178599999999733,0.0289700000000039,0.0283799999999928,4.32443506666667,4.33029000000025,0.00160686666664421,0.00193333333335107,0.00203026666666395,0.00697000000021035,0.00827000000037515,0.00932000000049811,0.00113546666669942,0.00152280000002177,0.00173893333335033,0.00209000000018932,0.00350000000033106,0.00468000000047596,0.0109559999999907,0.0205734000000049,0.0299394666666709,0.0163100000002123,0.0270200000003842,0.0373400000005222,0.0104566666666643,0.0106651999999908,0.0110520000000114,0.0157900000002337,0.0170200000003751,0.0184600000005321
