"","cvaR","cnm","cM","partial-data","equal-weight","full-data.AIC","optimal-weight.solnp","optimal-weight.osqp","CSL-ave-a31","CSL-ave-a32","CSL-ave-a33","CSL-cen-a31","CSL-cen-a32","CSL-cen-a33","partial-data","equal-weight","full-data.AIC","optimal-weight.solnp","optimal-weight.osqp","CSL-ave-a31","CSL-ave-a32","CSL-ave-a33","CSL-cen-a31","CSL-cen-a32","CSL-cen-a33","partial-data","equal-weight","full-data.AIC","optimal-weight.solnp","optimal-weight.osqp","CSL-ave-a31","CSL-ave-a32","CSL-ave-a33","CSL-cen-a31","CSL-cen-a32","CSL-cen-a33","partial-data","equal-weight","full-data.AIC","optimal-weight.solnp","optimal-weight.osqp","CSL-ave-a31","CSL-ave-a32","CSL-ave-a33","CSL-cen-a31","CSL-cen-a32","CSL-cen-a33"
"1",0.5,50,10,0.210809312142616,0.0274704643832387,0.012087483496692,0.0136289737998993,0.0136129907476293,0.942091996023357,294.928702291743,166863.032656904,47.0270314371373,15725.8959270881,8816646.77804096,0.24851920796271,0.0115401471208866,0.00542060470258006,0.00578165908333149,0.00578185180604463,2.15506085779707,1457.04372393723,1037015.39562661,93.7943229480665,61288.3545618769,43965552.2511743,0.212784778987318,0.0273595364421285,0.0120379194046948,0.0136225247546484,0.0136077200085469,0.947422714727828,290.507259372693,161579.739232182,47.1716852867269,15464.8898315236,8533148.54666164,0.254356562026703,0.0113256483926558,0.0052833422869982,0.00564546980988431,0.00564841229928739,2.15302459844018,1388.08976930794,973785.602575257,92.0382326702139,58244.6416867789,41379314.6429371
"2",0.5,50,20,0.277026307207395,0.0157970837522981,0.00716198588803361,0.0078761302285564,0.00787238606811318,0.36200856676903,59.399095419484,16948.5570879977,42.5921720568033,8345.52475260407,2248644.79956263,0.345976362730559,0.00574383579846039,0.00273693044001229,0.00276469259720867,0.00276384948219178,0.31862767497383,114.150100426271,48115.3148450821,49.2636422618359,16715.2596459645,6414121.43430495,0.275362213777387,0.0157102802616992,0.0071361281769829,0.00783275847584517,0.00782757108647541,0.360705488602724,59.3048640295603,16932.9105319981,42.1400913440959,8261.09095430801,2230968.47858832,0.34354136728061,0.00554797076523032,0.00263458899195529,0.00270608927971955,0.00270309037567557,0.319381093809022,114.329694027124,48330.7427198609,48.6321854989361,16519.8689536307,6347062.45543247
"3",0.5,50,30,0.307316333836073,0.0116345726200371,0.0051854239859672,0.00589982406776418,0.00589814264323217,0.258191645366345,50.7953630133304,18417.1841387144,48.5722239306476,10928.9113425999,3698955.38945378,0.487498512261895,0.00397464242163051,0.00201334882879344,0.0018735755849188,0.00188031788095077,0.338122331325429,128.218135789804,68963.9994162794,62.3620306247049,25265.8829197359,12360629.381041,0.306260182776387,0.0116055649601185,0.00516131276354882,0.00585824387199555,0.00585616541394573,0.257694726399945,50.2313059363064,18015.7832109325,48.8265892608623,11027.0913468518,3750950.2085188,0.47731054882282,0.00384497015013958,0.00203422074478308,0.00180567478807899,0.00181234662054272,0.338396704229915,124.414385834417,65774.5316418095,63.4580796218843,25800.3052774274,12693082.5566947
"4",0.5,50,40,0.292902641597775,0.00933496057884625,0.00410587600253451,0.00461423236487806,0.00461347669767197,0.163281010699856,22.6668399068023,5842.04121383876,51.1250001915212,12621.7098588693,4531690.03105593,0.424048590862897,0.0027926241489779,0.0014612716789842,0.00143033338015826,0.00143183246919855,0.149795075456383,36.6951031108164,14584.0138696325,100.266593312123,40685.4066340658,17922579.304662,0.291979445196151,0.00931371770954457,0.00406991374054942,0.00458851313273045,0.00458769139328114,0.16237435887331,22.5183460701403,5825.00928075358,50.1628675536857,12336.1565337134,4431042.51503378,0.424802379697579,0.00276236865238603,0.00142076866217304,0.00142497183334388,0.00142566153032028,0.145948550974763,36.364387795721,14849.8441331556,97.0383467396007,39514.1583431133,17476033.7434895
"5",0.5,50,50,0.264513174633356,0.00779994279950321,0.00341065435661486,0.00384526510588798,0.00384507569248738,0.146129110031797,38.8382195332992,31450.648110044,92.8731563499674,65426.6409620338,77103485.6303721,0.376522463536898,0.00216064517474657,0.00120468154020489,0.00120544775234307,0.00120597021606226,0.14177919716242,163.998730399247,229594.061409078,361.636174517467,507998.009149815,715414822.748249,0.265048172463955,0.00777453193723498,0.0033760219869005,0.00382142444423782,0.00382192559278067,0.14497685581191,37.2970737361444,29293.9726605304,89.1973031205998,60593.6054439741,70419287.8689384,0.379118582469962,0.00216970632192713,0.00118210906869013,0.00119823964618596,0.00119992060035053,0.133607343473312,149.543124075939,208778.924298031,329.325117822982,461121.526777843,649298665.305237
"6",0.5,50,60,0.262822465589399,0.00688596626784852,0.00305209881468692,0.00340267942445171,0.00340035460896921,0.152605519624788,36.1778490127223,21793.2539774911,77.0117706178088,34965.5452027512,29987009.6542734,0.329575866426689,0.001978448595197,0.00111681512023998,0.00111608653475178,0.00111377490916854,0.165858022470293,95.2351342054349,111662.064475641,202.185083710313,207859.257843724,235556528.054555,0.261571737403151,0.00686367758830347,0.00303241381263763,0.00337594633174418,0.00337336073974078,0.151750111056396,36.0802629316141,21757.0726004632,76.9711665751457,34674.6772917244,29604278.1553723,0.32965837484325,0.00195951107028075,0.00112840844396517,0.00111722633228914,0.00111457210011514,0.165019929954418,95.0884899600805,111693.885422444,199.482418664641,204215.754809572,231324190.983503
"7",0.5,50,70,0.265461484217946,0.00633716953385784,0.00277239414636219,0.00302527443107567,0.00302597070887764,0.120894903396664,19.1424064921112,5406.52345026355,62.7655983927318,24901.8827902296,17312076.0191703,0.352763124043523,0.00183422447559017,0.00102714638699451,0.000972813176360357,0.000970602200679817,0.119428466873186,33.1130397053855,13730.617171463,157.862376319675,137834.834839358,133993742.901591,0.266573618980806,0.00632039003568208,0.00275362711954674,0.00299569265386107,0.00299629361949136,0.120985910515119,19.1342243216767,5404.3466412599,62.7735939340954,25089.8510270485,17563241.2067639,0.355055898797896,0.00182721306946912,0.00103610902052617,0.000985112532451402,0.00098329213738853,0.120593966118316,33.2873916225373,13741.1660173598,159.490371712208,140662.731011485,137073750.219406
"8",0.5,50,80,0.294768410502091,0.00583403035108272,0.00244922712365538,0.00271602867493017,0.0027155967600575,0.0933017175773611,35.2285613219578,41477.0218353903,58.1726631560359,15911.5734165798,8197169.64260267,0.39051910120474,0.00180057232275513,0.000908035707396334,0.000889009882338328,0.000890582472431685,0.142910646128996,223.139742512579,373184.882899413,85.8861208498947,44991.0629474464,38883935.1833122,0.295035287521999,0.00580585152029952,0.0024236787543551,0.00269092209060858,0.00269058455860296,0.0931968218863845,35.1446767384523,41288.4763316176,58.5576797990772,16065.3629612344,8273924.74782015,0.390582681069977,0.00176485902596979,0.000912123339428526,0.000896771736820374,0.000898732513179067,0.142177552476548,222.290632509564,371364.704919648,87.5249386884271,45799.8757874595,39249573.8206705
"9",0.5,50,90,0.252716092490149,0.00538409179010732,0.00223308084695005,0.00247505492924463,0.00247913853832772,0.091647119085894,15.7720002664351,4983.46849143209,48.2138941135265,11481.8008050269,4423596.44925146,0.36712281204465,0.00166500516406097,0.000723372661962545,0.000745138519100591,0.000748486334696678,0.0888672285799104,28.8373923419163,15401.8152353114,63.602668265279,22688.202267653,13528588.3103742,0.251858329277715,0.00536222688210291,0.0022085151917069,0.00245085672571195,0.00245502233565961,0.091066316492703,15.7012151215264,4964.76934528063,48.0464954554439,11479.5924538355,4454896.1944307,0.367928646367897,0.001651325547665,0.000728239129523855,0.000746696645848901,0.000750395678936948,0.0878084808382619,28.6242378088279,15275.289192527,63.2269591391354,22774.4822609834,13814260.9901318
"10",0.5,50,100,0.290742234390157,0.00498020337889326,0.00199057944708553,0.0022499730930569,0.00224879500654813,0.0805156262528846,15.1275875271964,4873.78131120453,59.2775633964225,12994.3185933808,4071018.39360122,0.395387081918653,0.0014312618290992,0.000649936278567316,0.000671103067973215,0.000671033142257394,0.0829649859946212,32.2000382742148,15306.7805682473,58.8629714014384,19535.2040822,8596501.14112408,0.288666183285128,0.00496472558128486,0.00196734167003292,0.00222654880381772,0.00222543961910088,0.0803378710934697,15.1284704563213,4887.52098649592,59.2132766434526,13011.8869602556,4090784.51658607,0.391031206792334,0.00141405607525793,0.000653862066424122,0.000673123355659718,0.000673132291091847,0.0822373137088876,32.1471197457483,15333.5958539972,58.7152189014913,19625.8075530276,8697990.19277702
"11",0.5,50,200,0.242567456279811,0.00354278651025885,0.00115206533127779,0.00134898407727266,0.00134435525015886,0.0357676826701803,6.41992201536693,2863.05372979414,50.6504992138798,12097.6192248188,5842869.86069489,0.380319808341196,0.00085707978758196,0.000323606622193352,0.000334554513512332,0.000332440897233402,0.0268774186857955,12.8034465553808,13053.3386479165,54.5357532692768,29352.8517038548,31802778.8015133,0.242779869626779,0.00351322140165219,0.00112600015945403,0.00132057314834539,0.00131594827914973,0.0356597416226973,6.39161138914214,2844.92182875093,50.528227770061,12063.282698595,5820631.87906863,0.378965545447091,0.00086049278886527,0.000322481293864001,0.000335710316617784,0.000333698581148797,0.0267163956935932,12.6980269932836,12961.6635597489,54.2097695863162,29188.7417783586,31647671.7859335
"12",0.5,50,300,0.234736515362184,0.00307984807170042,0.000828885581571153,0.000940041446656733,0.000936492747655377,0.0280739040003429,5.8506360500015,2385.98848776906,67.2624800290739,22104.3364445373,11172415.331043,0.383177390490527,0.000713455178125014,0.000217556050021599,0.000246514570648604,0.000244135267116104,0.0251219333951833,13.0148459319544,8971.39694855673,102.876601823464,69710.9213078954,51915373.331561,0.234863046151477,0.00305645626973155,0.000803483348516401,0.000913473030314188,0.000909906643462354,0.0281202336866309,5.85768070525444,2384.5208931896,67.2706223748784,22046.2315891178,11117173.0977216,0.382965497591988,0.000718238124073596,0.000219276747448908,0.000245838179143055,0.000243482528802459,0.0251761650171214,12.9394964167607,8904.86551126714,102.142664148214,69063.1931912246,51406926.0490563
"13",0.5,50,400,0.261880663575719,0.00287005934962947,0.000666041883423932,0.000728871336387397,0.000725107456927797,0.016940629841568,2.90839177531209,924.352487796649,51.523666676106,11411.9827451012,3499998.86236761,0.340454058740396,0.000616413861025515,0.000175239366286095,0.000193986208046868,0.000192275436483228,0.017327567096973,5.41371980420405,2316.63317940348,59.2241718872797,18438.8346150542,7580019.19781712,0.262076789410345,0.00284785947035072,0.000640080168960794,0.000702676906298935,0.000698904650680575,0.0169442047166575,2.91811256154002,928.279487140114,51.6694595852675,11444.4016736502,3509517.21222461,0.340981884338328,0.000622964141135294,0.000175184968577663,0.000194593666253578,0.000192864297182745,0.0173619866320552,5.43952676760079,2326.84017591571,59.3597903342867,18479.8560413007,7594644.76841344
"14",0.5,50,500,0.361396990854814,0.00271683320099011,0.000565619637844417,0.000601108211737345,0.000597749124857012,0.0150459253275583,3.08531797024034,1225.04203239884,59.4110358500038,18108.1264410951,9009390.2716567,0.414091057637495,0.000559013370728781,0.000133163184268502,0.000151808678704363,0.000150580813473923,0.014797971270481,6.63552377678441,3819.92338862496,100.591248505499,67561.0480844229,49434319.9844038,0.361547249129775,0.00269202304775767,0.000539283736510139,0.000574918519676386,0.000571545023845706,0.0150009115587796,3.07462397155945,1218.96720464854,59.3650894959008,18059.7351688267,8973912.21667837,0.41419614064693,0.000562498252228727,0.000134807137614332,0.000153046777603386,0.000151670712258758,0.0147600035147628,6.5954045164887,3793.90291804562,100.117349243427,67217.0291818343,49180730.2046017
"15",0.5,50,600,0.289509477376299,0.00261746766795392,0.000498356195331337,0.000520857312164497,0.000518168987341118,0.0121264822032876,2.47145256735884,1331.26715357997,52.5577362864657,12937.2657479648,5034103.20832638,0.39125023441842,0.000486165925691473,0.000111945420822974,0.000133995065172264,0.000133631155275054,0.0118997901423297,8.10653284335835,8739.0832112205,73.3592130914681,32248.7361743951,17949177.9283669,0.289718751796386,0.00259264119648749,0.000471140852712305,0.000493433614737726,0.000490734885714429,0.0121331455164534,2.48463116186976,1341.2338681589,52.62002772743,12957.0102402278,5042571.29095568,0.391951615765146,0.00048599734678957,0.000112125617607632,0.000134869869953498,0.000134475622245204,0.0120091239068781,8.18106083852392,8818.26095748551,73.4552561853759,32260.4410712504,17957595.2753429
