"","cvaR","cnm","cM","partial-data","equal-weight","full-data","optimal-weight.solnp","optimal-weight.osqp","CSL-cv","CSL-cen-lambda1","CSL-cen-lambda2","CSL-cen-lambda3","CSL-cen-lambda4","CSL-cen-lambda5","CSL-cen-lambda6","CSL-cen-lambda7","CSL-cen-lambda8","CSL-cen-lambda9","CSL-cen-lambda10","CSL-cen-lambda11","CSL-cen-lambda12","CSL-cen-lambda13","CSL-cen-lambda14","CSL-cen-lambda15","CSL-cen-lambda16","CSL-cen-lambda17","CSL-cen-lambda18","CSL-cen-lambda19","CSL-cen-lambda20","CSL-cen-lambda21","CSL-cen-lambda22","CSL-cen-lambda23","CSL-cen-lambda24","CSL-cen-lambda25","CSL-cen-lambda26","CSL-cen-lambda27","CSL-cen-lambda28","CSL-cen-lambda29","CSL-cen-lambda30","CSL-cen-lambda31","CSL-cen-lambda32","CSL-cen-lambda33","CSL-cen-lambda34","CSL-cen-lambda35","CSL-cen-lambda36","CSL-cen-lambda37","CSL-cen-lambda38","CSL-cen-lambda39","CSL-cen-lambda40","CSL-cen-lambda41","CSL-cen-lambda42","CSL-cen-lambda43","CSL-cen-lambda44","CSL-cen-lambda45","CSL-cen-lambda46","CSL-cen-lambda47","CSL-cen-lambda48","CSL-cen-lambda49","CSL-cen-lambda50","CSL-cen-lambda51","CSL-cen-lambda52","CSL-cen-lambda53","CSL-cen-lambda54","CSL-cen-lambda55","CSL-cen-lambda56","CSL-cen-lambda57","CSL-cen-lambda58","CSL-cen-lambda59","CSL-cen-lambda60","CSL-cen-lambda61","CSL-cen-lambda62","CSL-cen-lambda63","CSL-cen-lambda64","CSL-cen-lambda65","CSL-cen-lambda66","CSL-cen-lambda67","CSL-cen-lambda68","CSL-cen-lambda69","CSL-cen-lambda70","CSL-cen-lambda71","CSL-cen-lambda72","CSL-cen-lambda73","CSL-cen-lambda74","CSL-cen-lambda75","CSL-cen-lambda76","CSL-cen-lambda77","CSL-cen-lambda78","CSL-cen-lambda79","CSL-cen-lambda80","CSL-cen-lambda81","CSL-cen-lambda82","CSL-cen-lambda83","CSL-cen-lambda84","CSL-cen-lambda85","CSL-cen-lambda86","CSL-cen-lambda87","CSL-cen-lambda88","CSL-cen-lambda89","CSL-cen-lambda90","CSL-cen-lambda91","CSL-cen-lambda92","CSL-cen-lambda93","CSL-cen-lambda94","CSL-cen-lambda95","CSL-cen-lambda96","CSL-cen-lambda97","CSL-cen-lambda98","CSL-cen-lambda99","CSL-cen-lambda100"
"1",0.5,50,10,0.240618388572563,0.0962713645725169,0.0617630321699513,0.0750997451562855,0.0751011062858882,0.206848818999107,0.45687782348148,0.449444186761036,0.440341626697052,0.429652569918811,0.417500545678238,0.404071756759439,0.389560388078446,0.374201588981825,0.358217059940181,0.341900357457482,0.325470981457002,0.309445853724633,0.293917854391869,0.279062052413548,0.265090354777538,0.251856464518684,0.239877264273679,0.229188761138444,0.219951074041463,0.212627068835829,0.206939075538893,0.202992595187622,0.200876095020143,0.200577511944005,0.201961444127888,0.205057526780058,0.209917579395894,0.216365231398851,0.224045292759576,0.232978437258132,0.243156052532484,0.254730360019579,0.267536740416537,0.281480759681583,0.296553049729133,0.312866521261686,0.329420971923452,0.346110580364177,0.362912583585912,0.379838588437827,0.397434519833859,0.415312270002938,0.433164770412036,0.451551210491354,0.470281618941437,0.488578045161039,0.507344363297612,0.526338570250356,0.545457530443561,0.564811328379828,0.584217899636282,0.604160203731279,0.624118944893463,0.644244343894779,0.664519506050563,0.684741840764658,0.70510841481216,0.726179154475225,0.74757582425859,0.769229354963767,0.791356948471004,0.813575695388614,0.835129959284156,0.856120480108421,0.877170728024128,0.898593285504955,0.920011250054299,0.941855076058128,0.964188427757181,0.98665082348925,1.00909200593657,1.03191946309167,1.05488887559126,1.07847082643917,1.102696623506,1.12697801475108,1.15109530104512,1.17501395229657,1.19898394258903,1.22352720990248,1.24830123365229,1.27276735641703,1.29682379860686,1.32056570429895,1.34400928689858,1.36715039436545,1.38949132273583,1.41114324947117,1.43254434397322,1.4534364323511,1.47368720755858,1.49278957038463,1.51018813821767,1.52511240249595,1.5376958029071,1.5496490056983,1.55999469903192,1.56843350546829,1.57690974420154,1.58490838020744
"2",0.5,50,100,0.253297229391832,0.080024172431763,0.0463103231062595,0.0462544122928945,0.04627009079927,0.209047089244918,0.68678875133659,0.682572814929094,0.676118926516191,0.667459225587952,0.656692984450604,0.643882247799763,0.629179691087912,0.612765718328032,0.594761605819487,0.575243877563509,0.554526365823049,0.532833279723876,0.510401339996955,0.487423694439976,0.46410210132408,0.440643289691033,0.417350538911663,0.394469925968662,0.372231329506647,0.350826579489083,0.330467603697437,0.311367327044647,0.293681125186535,0.27769457279802,0.263212272838435,0.250591201516743,0.240009650217603,0.231137355435759,0.224232805782479,0.219989742525145,0.217502509256107,0.216796867888179,0.217767961020009,0.220275938937855,0.224486889941744,0.230265290796555,0.237480019712943,0.24598487229656,0.255584935610987,0.266470047938119,0.27822033211272,0.290662926957261,0.30410390402925,0.318120762054048,0.332370240425316,0.347138370168665,0.362356594607132,0.378060330505986,0.394269464821082,0.410958913178589,0.428062266172778,0.445856236046915,0.464123814444849,0.482131410658221,0.500038100360153,0.518063262232157,0.536320456642456,0.554912929658133,0.573770708721389,0.592576576987942,0.611739804878734,0.630825288575289,0.649795262049533,0.668809685498371,0.687483361647318,0.706643735793348,0.726199375707213,0.745769973455264,0.765180614584396,0.784837971751376,0.804415947942588,0.824143813500484,0.844149979767188,0.864565183173806,0.884980902263815,0.905473252456826,0.925436723912474,0.945247808058616,0.96536049253681,0.985759104175238,1.00615967400255,1.02688877591123,1.04775268167512,1.06880825954096,1.08998006250478,1.11088195028218,1.1320933195285,1.15391222399892,1.17603248058604,1.19817498889139,1.22048890074172,1.24277513223608,1.26498651864868,1.28715174754052,1.30824601104075,1.3288093962052,1.348546182402,1.36849484014328,1.38787770583223,1.40704788883424
"3",0.5,100,10,0.145954583757218,0.0605919550783322,0.0532879855504258,0.0559668307219269,0.0559656311328889,0.0932345204299895,0.0989577693609179,0.0984962477959928,0.0979764667409446,0.0974069867665759,0.0967976492400675,0.0961712935904958,0.0955459025432436,0.0949398781351328,0.0943632771947767,0.093843535770692,0.0934016550386059,0.0930508917878253,0.0928101610545301,0.0927212218637432,0.0928312187928965,0.0931552993896861,0.0937225008687215,0.0945545831822892,0.0957168282775742,0.0971877108780875,0.0990045766181027,0.101129468900719,0.103621608881099,0.106458262480356,0.109693752168462,0.113216260920064,0.117111359910125,0.121416066530822,0.126213335487572,0.131427145464722,0.136970984930748,0.142916629733266,0.149177694215455,0.155746939942945,0.162729207538991,0.170037746843871,0.177569012550473,0.185279499517427,0.193260383984212,0.201461886915315,0.209932330857321,0.21858965500782,0.227429873504021,0.236520348940542,0.245751809599761,0.255224819877607,0.264979655465196,0.274995639380203,0.285167352987295,0.295567721089597,0.306212593076165,0.317059431852831,0.328100200539615,0.339146214469161,0.35025943647063,0.361580424899915,0.372932496070811,0.3842531240085,0.395726526711634,0.40747315683168,0.419395829363326,0.431503764855048,0.443854377725944,0.456395228900881,0.468986233902096,0.481790434286498,0.494846969652038,0.508012820043147,0.521341495313836,0.534854071005754,0.548438728822055,0.562185344374796,0.576257979733523,0.590586121454471,0.604884869469765,0.619294363896957,0.63384375965858,0.648627247679913,0.663786839278308,0.679128658403509,0.69484760202425,0.710671632442743,0.726346890773756,0.742109769687459,0.758084487457652,0.774138176054214,0.789744364409627,0.805076932718986,0.820500997186427,0.835835933903992,0.851236196384309,0.86647223093534,0.881751940905035,0.897163350291632,0.912665389767512,0.928467046660218,0.944392252490072,0.960213989203787,0.976040615053829,0.99191304516733
"4",0.5,100,100,0.143111298532356,0.0521776141506987,0.0454993030041152,0.0454398226558949,0.0454395052486569,0.0872543158408059,0.093276180850365,0.093056602331244,0.0927496182915266,0.0923624213361281,0.0919018736994395,0.0913749425632315,0.0907862999972126,0.0901506184068645,0.0894893935993364,0.0887964076335881,0.0880903699555366,0.0873980181963173,0.0867201857624944,0.0860784098421164,0.0854865358847966,0.0849722748617487,0.0845370310140606,0.08421537711671,0.0840307916816225,0.0840059951293253,0.0841225342518181,0.0844181082124323,0.0849095597405012,0.0856605399079454,0.0866540277056177,0.0879163283912883,0.0894675212066868,0.0913259076945414,0.0935105648911465,0.0960164126220016,0.0988275507424221,0.1019494764664,0.105403568112912,0.10915092545618,0.11325828926894,0.117704184094736,0.122513874291945,0.127644498410504,0.133183275830003,0.139039479202848,0.145216425107856,0.151684563938313,0.158465858201081,0.165521885297828,0.172838216453904,0.180371735714978,0.188119053629122,0.196010044619048,0.204013845265055,0.212138549543863,0.220470647526004,0.228958634952486,0.237582717830343,0.246382377347583,0.255396325593707,0.264572223689469,0.274039062105801,0.283850727496979,0.293925085259036,0.304255180563838,0.314714264439081,0.325368269567161,0.336156810870028,0.346818523236228,0.357671224606505,0.36856720902706,0.379469147481078,0.390445502691721,0.401549878855056,0.412661174933525,0.423987543665992,0.435460712378204,0.447238551812584,0.459076200440711,0.470931580283337,0.482793111259242,0.494777512293757,0.506644756935108,0.518658825542498,0.530837385280106,0.543302696305604,0.555908454476574,0.568630476370779,0.581373807388052,0.594300500431581,0.607210198732316,0.620162231429376,0.633153248439315,0.646174730474777,0.659290669497106,0.672663663518298,0.685950019439821,0.699433308831885,0.713081795655678,0.726505474774619,0.739820374737805,0.753223183756412,0.766587954313449,0.780059270556321,0.793591914878766
"5",0.5,1000,10,0.0527622026254738,0.0455125721812947,0.0454940572496607,0.0454676412683278,0.0454697945997299,0.0457942867617331,0.0455454973728752,0.0455459256714928,0.0455473950465136,0.0455501047484654,0.0455542467358111,0.0455600352339631,0.0455676799961839,0.0455774323956062,0.0455895215438385,0.045604209225623,0.0456217670263471,0.0456424676536948,0.0456665959381357,0.045694458498436,0.045726362442319,0.0457626406683153,0.0458036151852,0.0458496271720274,0.045901050761436,0.0459582440999063,0.0460215881291194,0.0460914704676672,0.046168293937166,0.0462524733013455,0.0463444256899149,0.0464445968507348,0.0465534219982376,0.0466713647567278,0.046798899451054,0.0469364966999513,0.0470846496542829,0.0472438702567961,0.0474146515164041,0.0475975335291279,0.047793058267559,0.0480017616183259,0.0482242040276745,0.048460964764567,0.0487126114501682,0.0489797383704039,0.0492629527900116,0.0495628816599577,0.0498801268624182,0.0502153474804289,0.050569181122345,0.0509422891132243,0.0513353490579711,0.0517490262766462,0.0521840206393793,0.0526410531398703,0.0531208156915077,0.0536240480966562,0.0541515157382785,0.0547039137963348,0.0552820353717261,0.0558866487261546,0.0565185230162133,0.0571784868999617,0.0578673050564823,0.0585858125679093,0.0593348624083518,0.0601152498382183,0.0609278571530383,0.0617735255947424,0.0626531474503425,0.0635675799122094,0.0645177639874134,0.0655045595667396,0.066528927778709,0.0675917457979765,0.0686939836098747,0.0698357383558633,0.0710176153532219,0.0722416968507062,0.0735090195637042,0.074819003893605,0.0761737384258598,0.0775744018857822,0.0790205747661645,0.0805148944966184,0.0820583889883108,0.0836481867809539,0.0852844018476549,0.0869685595140984,0.0886978808438637,0.0904795726383043,0.0923065408546158,0.0941818981437028,0.0961053908884275,0.0980673404005187,0.10007400392018,0.10212856837138,0.104225567388204,0.106368729842818,0.108557388479691,0.110789267760366,0.113056175471524,0.115350519614321,0.117670813558955,0.120012516449551
"6",0.5,1000,100,0.0528972406398235,0.0448370509123414,0.0448313646266555,0.0447586092526664,0.0447585542915686,0.0451122258072388,0.044915036092512,0.0449152573382251,0.0449156412987794,0.0449162454848494,0.044917134732104,0.0449183843818353,0.0449200697415585,0.044922284208578,0.0449251227689079,0.0449286873292487,0.044933091502594,0.0449384579911225,0.0449449092847049,0.0449525809690368,0.0449616163053187,0.0449721706782958,0.0449843994928481,0.0449984706608091,0.0450145619325822,0.0450328462694522,0.0450535235489842,0.0450767860864503,0.0451028437329033,0.0451319048467267,0.0451641993701445,0.0451999458975196,0.045239393756569,0.0452827738776555,0.0453303571631779,0.0453823900205421,0.0454391478962693,0.0455009006795586,0.0455679362232467,0.0456405542679155,0.0457190425596277,0.0458037131961231,0.0458948842058082,0.0459928791485519,0.0460980282510473,0.0462106614678447,0.046331147958063,0.0464598253259536,0.0465970606686418,0.0467432223970739,0.0468986896745341,0.0470638465522955,0.0472390928524497,0.0474248265669392,0.047621460566103,0.0478294069534769,0.0480491008936869,0.0482809612922195,0.0485254345240377,0.0487829766433069,0.0490540360199194,0.0493391028701595,0.0496385990882699,0.0499530476318966,0.0502829115683014,0.0506286973686901,0.050990927842603,0.0513700736619501,0.0517666887934449,0.0521812765445241,0.0526143933104836,0.0530665623892637,0.0535383672520076,0.0540303183178394,0.0545430193395466,0.0550770197955889,0.0556329204891677,0.0562113140725553,0.0568127687555037,0.057437928808918,0.0580873890061714,0.0587617699067033,0.0594616833348025,0.0601877998863176,0.0609407560577887,0.0617212037020664,0.0625297669066145,0.0633671907479548,0.0642340578591344,0.0651311164700025,0.0660590302509694,0.0670185244051639,0.0680103084845464,0.0690350371169317,0.0700935418744073,0.0711864208187552,0.072314045323131,0.0734761006056584,0.0746747888136354,0.0759108343965007,0.0771850658159149,0.0784982276469146,0.0798511023986484,0.0812444602255259,0.0826773781016673,0.0841502054308553
"7",1,50,10,0.3613703453058,0.153500899282232,0.0772706276044512,0.106345192433794,0.106350511053355,0.255354207315489,0.716131852252859,0.705584620997557,0.692658027114068,0.677453003458451,0.660201710373106,0.64103573620684,0.62018279522836,0.597783110003377,0.574043932202875,0.549414638857149,0.524543469692195,0.499352395063612,0.473999301387526,0.448800574441709,0.424021261346573,0.400017654883721,0.377165566117078,0.355829867908085,0.335906944340596,0.317228754061336,0.300365104544126,0.285979617312118,0.273874360374058,0.263866443291945,0.256092009082027,0.250370727694529,0.246779661313458,0.245591659292703,0.246502207880071,0.249264384181409,0.25360265951721,0.259365649761858,0.26680739836305,0.276062463312044,0.286703100479928,0.298530750722804,0.311656166227822,0.326323086728548,0.342085720209462,0.35873878339646,0.375876836599223,0.393488419289703,0.411553889260344,0.429970454313966,0.448523739612216,0.467530748842815,0.487104625847175,0.507121952222948,0.527237726177802,0.547735810100382,0.567866155571724,0.588521362724234,0.60879226473163,0.629184295335836,0.649588450342987,0.670184680357239,0.691431903299059,0.712968597597009,0.73422266047498,0.755691835790132,0.777530805900028,0.799266082435638,0.821220838874685,0.842748955849004,0.864307526864729,0.885628434596881,0.906925711805824,0.92856798502974,0.950172323785201,0.971951699626853,0.994093470511782,1.01676837114751,1.03984173510916,1.06331019188752,1.08732250896789,1.11131163941196,1.13612249436475,1.16099810822851,1.18637486119615,1.21195959274887,1.23781372383439,1.26373026507397,1.28921563466183,1.3131250655476,1.33745287121028,1.36146783097724,1.38414976612796,1.40603318671958,1.42822926750129,1.44999997463306,1.47037248389137,1.48877239262604,1.5065354023855,1.52262458720389,1.53711210683195,1.54883366054771,1.55842537187158,1.56709544109986,1.57527407027828,1.58313228452012
"8",1,50,100,0.400470156757458,0.127414785852062,0.0478628898569478,0.0479151523274316,0.0479573718506995,0.264694035673378,1.03630826410996,1.03068268485336,1.0220512666204,1.01045465368756,0.996025646877659,0.978855100381169,0.95911406894265,0.936909954368654,0.912442960774328,0.885975623880948,0.857776444471737,0.827817441472743,0.796347148141783,0.763747164716536,0.730193591760224,0.695928648837309,0.661111903138194,0.626388143738889,0.591874181285663,0.557880150413498,0.524772403225586,0.492907005958075,0.462281570521586,0.433015734624223,0.405585819829916,0.380338206411471,0.357490843608263,0.336583855226334,0.317748586920061,0.301356019540119,0.287638659464849,0.276950925719965,0.269023777886952,0.263337652441707,0.260204987200996,0.259190959381179,0.259902671513835,0.262526544437138,0.266925869405869,0.272699019756416,0.279962822017719,0.288519287808433,0.298438513250403,0.309696989573137,0.321481314394801,0.333984571183008,0.347385875510319,0.361509649295804,0.376534125756279,0.392153431230411,0.408182598759397,0.424929857648816,0.442497219428091,0.460315924694113,0.478443859642699,0.496533689225711,0.514992253378601,0.533648353481369,0.552968198916308,0.572353501716251,0.592211712469388,0.612648560193625,0.633004798441768,0.653492025856725,0.673470893593241,0.69340431988194,0.713727065834833,0.734278687456315,0.75467454051332,0.775317534521112,0.796129514674794,0.816700008026444,0.837182654150033,0.857412790538159,0.877801752993233,0.898578923287514,0.919557662043781,0.940298888586805,0.961418704393149,0.98265746761689,1.00381990990402,1.02524052572509,1.04677731194647,1.06804650750991,1.08893521166486,1.11012982836677,1.13183312373685,1.15403193629587,1.17692619604122,1.20014899203946,1.2235064457138,1.24676990925225,1.26970208467157,1.29234118660965,1.31321655962399,1.33330264571482,1.35365879546659,1.37349209161205,1.39269437162775,1.41189046958498
"9",1,100,10,0.228304524591875,0.0826066837107022,0.0610514741215094,0.0687358903748521,0.0687363591868192,0.124129729261305,0.136708398176903,0.135808367688248,0.134791653878049,0.133644932220055,0.132383487417018,0.131040335362764,0.129631556959353,0.128179977484137,0.126725216904893,0.125296298823904,0.123907474879846,0.122566757837838,0.121291609441533,0.120119056292392,0.119065453663015,0.118175302941244,0.117472314520961,0.116985396690603,0.116740358819661,0.116778907806295,0.117143707783266,0.117789551534885,0.118773911731341,0.120139171785756,0.121844925929257,0.123923218325224,0.126429830446958,0.129364215768656,0.132741225370977,0.136504538710194,0.14076694799682,0.145453690010391,0.150605882372414,0.156153321481523,0.162114070275077,0.168441569748729,0.175144507995385,0.182194169589804,0.189618456499487,0.19719974622378,0.204991459295812,0.213158494337578,0.221704850531787,0.230678650757652,0.239755832202016,0.248939514957234,0.258407669235241,0.268283371547985,0.278361696283216,0.288747847735778,0.299330491942137,0.310072102536848,0.32098723034444,0.331957758266429,0.343074238100687,0.354333237416251,0.36565896272975,0.377052217047854,0.388624647651412,0.400463242833228,0.412468711611545,0.424657186269323,0.437008565623194,0.449389343214271,0.46201605148508,0.47494854201942,0.488052815496951,0.501236068049893,0.514461616198278,0.528057206685596,0.541817830994822,0.555758134452215,0.5698073022631,0.583897607752688,0.598205989011933,0.612716146889196,0.627382168436647,0.642179364948387,0.6572945715812,0.672679845200441,0.688323859172058,0.704176733252393,0.720283568784316,0.736439244235534,0.752668004548795,0.768579255072582,0.784285399698317,0.799835611619455,0.815038236379572,0.830264712263017,0.84536011863237,0.860445123205054,0.87568144791989,0.891209019814234,0.907017698434254,0.922893454023723,0.93895124509756,0.954686543547745,0.970361292285062,0.986280603466555
"10",1,100,100,0.217849983183713,0.0692435003011698,0.0462535674016871,0.0462026379501283,0.0462022193167125,0.114298878229836,0.133443226635034,0.133042719140309,0.132481932334977,0.131764618605448,0.13089685230294,0.129887248189798,0.12874971538559,0.127492402567029,0.126123501513599,0.124666291378809,0.123174090296877,0.121629054733687,0.120048499387346,0.118461309567883,0.11687118588841,0.115326744320121,0.11382491226612,0.112389670190418,0.111048707382108,0.109819637457058,0.108736007101029,0.107797665648207,0.107032563121339,0.106459449053193,0.106082171846346,0.10592693708275,0.106023253091701,0.106346357167068,0.106899123316251,0.107737694624047,0.108904600463796,0.110446672898847,0.11234123736576,0.114618238116199,0.117278060365418,0.120377258672992,0.12388477941616,0.127783664139313,0.132101974047129,0.13683210769117,0.141966565511633,0.147521824465574,0.153552431316933,0.159883967245035,0.1665734926093,0.173539307496224,0.180769782352395,0.188292262849129,0.19608839224343,0.204215346008445,0.212426178314963,0.220826149598508,0.229390490018892,0.238161096456816,0.247124291385399,0.256326632342208,0.265739609215758,0.275428954063239,0.285245158539081,0.29527019195193,0.305591827765471,0.316216127035901,0.32708286404187,0.338066596598859,0.349191878922971,0.360486384851673,0.371912579168042,0.383407065781994,0.394957452420625,0.406671136415797,0.418436857958532,0.430159636240016,0.442026815280903,0.453984798548393,0.466199852839932,0.478554252419483,0.490831324552435,0.502934593147001,0.515037902125966,0.527242735606941,0.539595751079131,0.552076277736815,0.564540151971467,0.577090798546842,0.589829193686222,0.602818499621958,0.61588256450589,0.62904491693056,0.642221261711008,0.655362514217624,0.668663547441636,0.682072793933391,0.695816293447192,0.709797258142373,0.723799529746616,0.737812819346655,0.751530340817146,0.765368915037308,0.779084100564036,0.792547402587105
