"","cvaR","cnm","cM","partial-data","equal-weight","full-data","optimal-weight.solnp","optimal-weight.osqp","CSL-cv","CSL-cen-lambda1","CSL-cen-lambda2","CSL-cen-lambda3","CSL-cen-lambda4","CSL-cen-lambda5","CSL-cen-lambda6","CSL-cen-lambda7","CSL-cen-lambda8","CSL-cen-lambda9","CSL-cen-lambda10","CSL-cen-lambda11","CSL-cen-lambda12","CSL-cen-lambda13","CSL-cen-lambda14","CSL-cen-lambda15","CSL-cen-lambda16","CSL-cen-lambda17","CSL-cen-lambda18","CSL-cen-lambda19","CSL-cen-lambda20","CSL-cen-lambda21","CSL-cen-lambda22","CSL-cen-lambda23","CSL-cen-lambda24","CSL-cen-lambda25","CSL-cen-lambda26","CSL-cen-lambda27","CSL-cen-lambda28","CSL-cen-lambda29","CSL-cen-lambda30","CSL-cen-lambda31","CSL-cen-lambda32","CSL-cen-lambda33","CSL-cen-lambda34","CSL-cen-lambda35","CSL-cen-lambda36","CSL-cen-lambda37","CSL-cen-lambda38","CSL-cen-lambda39","CSL-cen-lambda40","CSL-cen-lambda41","CSL-cen-lambda42","CSL-cen-lambda43","CSL-cen-lambda44","CSL-cen-lambda45","CSL-cen-lambda46","CSL-cen-lambda47","CSL-cen-lambda48","CSL-cen-lambda49","CSL-cen-lambda50","CSL-cen-lambda51","CSL-cen-lambda52","CSL-cen-lambda53","CSL-cen-lambda54","CSL-cen-lambda55","CSL-cen-lambda56","CSL-cen-lambda57","CSL-cen-lambda58","CSL-cen-lambda59","CSL-cen-lambda60","CSL-cen-lambda61","CSL-cen-lambda62","CSL-cen-lambda63","CSL-cen-lambda64","CSL-cen-lambda65","CSL-cen-lambda66","CSL-cen-lambda67","CSL-cen-lambda68","CSL-cen-lambda69","CSL-cen-lambda70","CSL-cen-lambda71","CSL-cen-lambda72","CSL-cen-lambda73","CSL-cen-lambda74","CSL-cen-lambda75","CSL-cen-lambda76","CSL-cen-lambda77","CSL-cen-lambda78","CSL-cen-lambda79","CSL-cen-lambda80","CSL-cen-lambda81","CSL-cen-lambda82","CSL-cen-lambda83","CSL-cen-lambda84","CSL-cen-lambda85","CSL-cen-lambda86","CSL-cen-lambda87","CSL-cen-lambda88","CSL-cen-lambda89","CSL-cen-lambda90","CSL-cen-lambda91","CSL-cen-lambda92","CSL-cen-lambda93","CSL-cen-lambda94","CSL-cen-lambda95","CSL-cen-lambda96","CSL-cen-lambda97","CSL-cen-lambda98","CSL-cen-lambda99","CSL-cen-lambda100"
"1",0.5,50,10,0.325297010048923,0.139333481605005,0.0457870836642429,0.0956159624432636,0.0956204630150733,0.253732320877092,9.70941592659272,9.39917106606524,8.95349565316896,8.38823260534438,7.72890505946606,6.99620314700558,6.20287827717255,5.40940651459426,4.62252600484066,3.85110382433006,3.1329820540551,2.48974231603552,1.93629563304115,1.48179743771522,1.12439812771522,0.853374706409866,0.654874609282335,0.513279551567842,0.427660633745548,0.374099974852509,0.341322994948824,0.321619629508115,0.313619262324722,0.319572599809753,0.331359205901877,0.348437839923182,0.369796124915583,0.393247399243801,0.418696394810392,0.445324165888468,0.473659562227445,0.503547885929849,0.534744314041321,0.56699312052304,0.60023052164768,0.634807314250634,0.669706221492108,0.704868894754321,0.740317573440269,0.775432141451925,0.810387208026487,0.844194855278142,0.877477195311965,0.911102404052874,0.945030674283672,0.980047937508879,1.01601053875195,1.05242847340386,1.0895967355032,1.12758184092265,1.16694023912257,1.20791417564846,1.24975661536227,1.29144087529441,1.33180694256416,1.37104005650872,1.40726488788767,1.44319791067591,1.47996763800888,1.50890759699238,1.53210335679645,1.5514462877319,1.567600404706,1.58098417900051,1.59183666567779,1.60099326622147,1.60770100787527,1.61400841379271,1.61999798343108,1.62466698854509,1.628033475929,1.63037194256162,1.63117209365192,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301
"2",0.5,50,100,0.3422146341775,0.117721917935106,0.0161543110148562,0.0250012427057295,0.0251243327452767,0.244434040531409,9.49591904410657,9.35404882335525,9.08819130445975,8.70554975788456,8.21844107611543,7.64480989912298,7.00267866505247,6.31520362667581,5.59843415530531,4.87666877203289,4.17837643741332,3.53737467406576,2.94597714495028,2.4148483191025,1.94998243050854,1.55675432237002,1.22730603610536,0.957612600662798,0.750609735002072,0.600265556353462,0.48848411105989,0.407782417676323,0.351930736452493,0.316805298304677,0.296208981752474,0.288367699494678,0.291150098762115,0.301423868016285,0.316559919688343,0.335233087287241,0.356358548336471,0.379444690102918,0.40377458206149,0.429931100784844,0.456954409900373,0.484683351095689,0.512511201299262,0.541620596836506,0.571657154698189,0.60215848736455,0.633041266001757,0.66446864654676,0.695848776116422,0.72767842130579,0.759773138529813,0.792165582129972,0.825043562282035,0.857524805023454,0.889394260965887,0.922096858103669,0.954905694087267,0.987767316915161,1.02039488732349,1.05341502088052,1.08707102412579,1.12177128169906,1.15627050938769,1.19220252785885,1.22876075849862,1.26460226614622,1.30076482950299,1.33709489229671,1.37370861907695,1.40792267870057,1.43952786214154,1.46875205824448,1.49471737424168,1.51698953548107,1.5375888863348,1.5551666582176,1.56963971082178,1.58185060652689,1.59136065359245,1.59867424069069,1.60488035028358,1.61020011459208,1.61407837642854,1.61697096881495,1.61910430175386,1.62009183072592,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186
"3",0.5,100,10,0.186077121774524,0.0617824052665046,0.0294583545357832,0.0465817042371978,0.0465821203788365,0.119905240568922,0.363408774375821,0.35395643147711,0.341414948031536,0.326032473293754,0.308454907666171,0.289149894206328,0.268718421743834,0.247652640265337,0.22659478021639,0.20627327408089,0.187342380277353,0.16999157487928,0.154503045992267,0.141495420468029,0.131003314237603,0.12315863986746,0.11812533261349,0.115922174585008,0.116649459532022,0.120054053191414,0.125545142721636,0.133078766682959,0.142407515012707,0.153275623933681,0.165289516568524,0.178082935948769,0.191503216478488,0.205868960418467,0.220862576243868,0.236296376283533,0.252265329696312,0.26884472894034,0.285988276004582,0.303147407957243,0.320769007958076,0.338934049625557,0.357168359294676,0.375677504659856,0.394447692855766,0.413414515068028,0.433049417637006,0.453261972783345,0.473670114426769,0.49473802650826,0.516016145785603,0.537592178044625,0.559606036116425,0.582093379039826,0.604789530126695,0.627975044090225,0.651581194328716,0.675889805446785,0.700390899317325,0.72460003716902,0.749287082814511,0.774197497335421,0.798651443910644,0.822530853527953,0.846407506836959,0.870578781413563,0.894908652629106,0.919438628845612,0.944199228107558,0.969436405808467,0.994982122023492,1.0207125440525,1.04691430622485,1.07361102422717,1.10101641813062,1.12889251960365,1.15668697831552,1.18544635755455,1.21445564334792,1.24460631270181,1.27562277428097,1.30689956523935,1.33784419228037,1.3687586290252,1.39828387475124,1.42706776036834,1.4556731926811,1.48362123149825,1.51054020991039,1.53441882935912,1.55650842361854,1.57454841374251,1.59066418980991,1.6019573052817,1.60989790531636,1.61561802103202,1.61988537736517,1.62376330273555,1.62719331428648,1.62944429151519,1.63084922236088,1.63178533677482,1.63253087607873,1.63289384709704,1.63326864477405,1.63365553459141
"4",0.5,100,100,0.172082760059056,0.0515900588501041,0.0145859339707654,0.0170641074627055,0.0170821250688847,0.118016967253786,0.367989097305712,0.363959771626252,0.35701269371602,0.347285170808937,0.335010746206771,0.320528555297929,0.304100706793774,0.286093118043752,0.267103058008333,0.247751306524634,0.228231156244832,0.20898400529351,0.190481352385748,0.173283961439823,0.157616341839675,0.143699414884002,0.131783399959382,0.121942362186189,0.114519380660133,0.109878825573651,0.107752836336111,0.10791431987196,0.110090328509629,0.114211995592595,0.1200949462181,0.127725259626974,0.136476632279575,0.146294883519805,0.156954266153211,0.168232574433395,0.180244199909402,0.193056368688822,0.20648841539562,0.220138153450565,0.234435173854656,0.249143941970258,0.264353662691346,0.280027569064634,0.296292738872234,0.313179094049024,0.33063559420363,0.348303888957549,0.366081766315014,0.383691809822524,0.401602173991865,0.419834099642558,0.438506444500412,0.457678695310596,0.476964879725652,0.496592648511806,0.51647550643365,0.536859499902139,0.557494307447249,0.577849441276965,0.59838807917306,0.619019442492764,0.639708307751934,0.660777159646469,0.682309862368293,0.703766757737228,0.725425545507525,0.747124864437752,0.768851963376046,0.790216866532777,0.81183261373577,0.833209245624389,0.854354755630587,0.875934805938517,0.898046806886361,0.920522307386163,0.942791131521974,0.965276072622691,0.988374273126797,1.01171986614132,1.03552431881224,1.05970245515457,1.08447444456743,1.1094928617848,1.13499601269304,1.1610304147166,1.18792548334401,1.21566607512714,1.24354617625943,1.27168521273947,1.29974092932174,1.32749944827457,1.35551128953832,1.38418303428929,1.41297850705023,1.44097492247831,1.46598762876187,1.4882759321656,1.5081225892344,1.52644637789955,1.54249583803014,1.55591707399798,1.56871867382789,1.58052446988652,1.59078674692279,1.59936879101034
"5",0.5,1000,10,0.0291607310006806,0.0147074836243794,0.0145816350195051,0.0146572126676642,0.014656899729589,0.0153058836433091,0.0150953434603063,0.0150936835624819,0.0150949935947925,0.0151005079954127,0.0151116065014055,0.0151298094683801,0.0151567927704478,0.0151943837710366,0.0152445334882312,0.0153093831398336,0.0153911848032708,0.0154923627599021,0.0156154690223354,0.0157632190108196,0.0159384672241053,0.0161442302741678,0.0163836544026445,0.0166600333965869,0.0169768283160712,0.0173376393820056,0.0177461970711073,0.0182064105218867,0.0187223141833028,0.0192978880249697,0.0199373890310159,0.0206455638162475,0.0214270617010806,0.0222866249169069,0.0232276349822683,0.0242554607544882,0.0253723679732584,0.0265825209822984,0.0278877305715245,0.029288754759449,0.0307919039927219,0.0324004896979085,0.034115711512087,0.0359402753382704,0.0378693463115695,0.0399035347432846,0.0420453282962887,0.0442834264387611,0.0466164338813714,0.0490454473122248,0.0515754246461763,0.0541891100716601,0.0568728478499285,0.0596133337174009,0.0624306738929904,0.0653106953455497,0.0682667443597602,0.0713031148121085,0.0744170921865905,0.0775796516746956,0.0808075605624491,0.0840765529319122,0.0874091462122725,0.0907869785770027,0.0941981221012228,0.097642563026006,0.101135856354407,0.104697857280213,0.108311856173497,0.111995089573186,0.115748041875284,0.119562767449039,0.123401225613348,0.127279702347953,0.131211406462136,0.135183619218845,0.13920039809132,0.143238691109223,0.147336582247647,0.151488457820578,0.155707198630553,0.159963855990117,0.164269664846033,0.168612484677805,0.172967814141082,0.1773723620926,0.181833071939531,0.186302657784238,0.190802543118428,0.195339344305374,0.199907778601583,0.204525662269524,0.209202416781972,0.213930833735877,0.218696861417734,0.223549878053831,0.228441811074269,0.233368097018678,0.238345465062937,0.243382105633017,0.248467657929433,0.253590332532387,0.258740969861137,0.263868658285918,0.269044503478156,0.274272179580763
"6",0.5,1000,100,0.0285487936820322,0.0133165522716802,0.013205758438146,0.013143631535995,0.0131432788947203,0.013990816043551,0.0137798356604999,0.0137793759411141,0.0137792643623813,0.0137799320234492,0.0137819056661051,0.0137858151191086,0.013792388386793,0.0138024727897983,0.0138170025779367,0.0138370283190591,0.0138636926168092,0.0138982507910082,0.0139420636467523,0.0139965803164914,0.0140633731517808,0.0141441002335591,0.0142405397272079,0.0143545653003591,0.0144881517169185,0.0146433844767516,0.0148224374202933,0.0150276064503365,0.0152612900029528,0.0155259864968038,0.0158242823534172,0.0161588860393515,0.0165326027822284,0.0169483454078319,0.0174091307355781,0.0179180711157236,0.0184783998029964,0.0190934228703968,0.0197665863189758,0.0205014103248295,0.0213015519855704,0.0221700307593077,0.0231109022794395,0.0241285486066406,0.0252270000698476,0.0264103541807498,0.0276803972353081,0.0290407533797795,0.0304947845156524,0.0320406490575476,0.0336786586630254,0.0354145834337602,0.0372536160595839,0.0391787932892992,0.0411970915736857,0.0432983169469942,0.0454690431366064,0.0477144629149784,0.0500381695317661,0.0524278739075391,0.0548762044101204,0.0573901693045579,0.0599630962415292,0.0625893094071214,0.0652718967442833,0.068018359797968,0.0708083031751951,0.0736372124525794,0.0765078525573916,0.0794104440392776,0.0823376018610188,0.0853055528962253,0.0883150880820309,0.0913839703483361,0.0945038276576158,0.0976722106854654,0.10089184067376,0.104150155768465,0.107467295876149,0.110838269943279,0.114266356564167,0.117724553894155,0.121198349087386,0.124709662547258,0.128257149410324,0.131848840165899,0.135470919169648,0.139117411917543,0.142802481307156,0.146523216942315,0.150287351041407,0.154104292065583,0.15796110709821,0.161843250805957,0.165768607723092,0.16970723263981,0.173675669789033,0.177692692692494,0.181725295086699,0.185789912654306,0.189901746563476,0.194057484201531,0.198251498999205,0.202444675861438,0.206660499634994,0.210916020651862
"7",1,50,10,0.496070258417498,0.237852986783105,0.0738884295744951,0.155635171955391,0.155651630832904,0.309247339785608,13.4205665091434,13.0739936765028,12.5711401440611,11.9276287525134,11.1651236685321,10.298299304081,9.36085655917601,8.37981272067156,7.3862486766858,6.41827456715105,5.48395859318124,4.60589487357253,3.81504044940853,3.12102530497439,2.5189643974832,2.007566192883,1.59399463145047,1.26171379715289,1.00018636875898,0.798422425439949,0.650074999704137,0.550065696701315,0.482446445353373,0.439102402298872,0.423038246408151,0.417624109217289,0.419132079350052,0.43008347152688,0.447285234252592,0.469205644857136,0.493675446212421,0.519369344562114,0.547688323576851,0.577500538732488,0.608217234993728,0.64058339962632,0.673750496120463,0.707827083924184,0.742355096815076,0.775508954211807,0.809267458923219,0.842572500865514,0.875036140677979,0.90794483278503,0.941171055794686,0.975640832882299,1.01096998253362,1.04686536293705,1.08433726205474,1.12270572518459,1.16221443704171,1.20324460376814,1.24545836149861,1.2887798326433,1.33208266450727,1.37240798873951,1.41105637595324,1.44659687625755,1.48030595926539,1.50857728889376,1.53160888080028,1.55165252260689,1.56648667007859,1.57932622595286,1.59083378745335,1.60006320774641,1.60743980494808,1.61371700111667,1.61891926864566,1.62332172327008,1.6271388313156,1.62942991403709,1.63071109223447,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301,1.63126615715301
"8",1,50,100,0.529067980852845,0.201239158888112,0.0191435972685118,0.0363979699518177,0.0366895200970374,0.273661760592684,11.864062804418,11.7135032697153,11.4302048771847,11.0225589439267,10.5064403311291,9.8893667462906,9.18877942769742,8.42761030321375,7.63200697163142,6.81951629565762,6.01124399849055,5.22981267443821,4.50093414757595,3.84761663970929,3.25190351538755,2.71440433930543,2.2427343494015,1.83875862414824,1.49461403571923,1.20196671672747,0.969018023628052,0.785399392637514,0.641411789289956,0.532861099743483,0.454394023399271,0.398692968746992,0.361777066297403,0.341448384409759,0.334945746228465,0.338957561256139,0.350914181565001,0.367373932528906,0.388020426893564,0.412218500208315,0.438233027964387,0.464163218492978,0.491175369505548,0.519586769994641,0.54888950802772,0.579037570547151,0.610204672109329,0.642122858447234,0.674071120772304,0.706046881533642,0.737876226896263,0.770227908970661,0.803079626881673,0.835735387943661,0.868250645580475,0.900918476837115,0.934102455127172,0.967514529472868,1.0008509965068,1.03540648562451,1.07041737294166,1.10598058604002,1.14271134495862,1.18030839619197,1.2182414527509,1.25548571735923,1.29180032325128,1.32756801401249,1.36448923200995,1.40088498601724,1.43463651430402,1.46533248472995,1.49221819397862,1.51780389106047,1.53927015096852,1.55904421203961,1.57249287787987,1.58226601107937,1.59115034653511,1.59863321956604,1.60476313740656,1.61027824012343,1.61370451930362,1.61714073516773,1.61927645446182,1.62006053373232,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186,1.62047074594186
"9",1,100,10,0.297930892046054,0.11393683340521,0.0450810449589322,0.0798625532124713,0.0798654275223162,0.156435534265375,0.543868003753098,0.531652048373467,0.515363945747358,0.495359675063623,0.472156251958727,0.446355934150541,0.418557027714083,0.389542607769413,0.359697597455996,0.329721154687453,0.300258363532648,0.272157021531837,0.245951285374931,0.22200148278324,0.200812387684225,0.18245453423468,0.16746689548684,0.156441629444735,0.148759669678888,0.144298072931599,0.143144396728973,0.144955776479698,0.149383250557692,0.156180159883772,0.164936092164951,0.175238513869346,0.186921823105156,0.199733999683489,0.213643673580473,0.228186086335789,0.243506974217496,0.259736947711473,0.276621106408584,0.293817756137559,0.311662165980275,0.329471002586722,0.34757671605546,0.366028101558554,0.384786265305908,0.404075233338682,0.423789580912982,0.444198980687793,0.464985167137296,0.485933232643816,0.507440233934139,0.529354608491902,0.551545885402796,0.574059993185347,0.59722443267084,0.620761949611629,0.64452625751408,0.668649384613351,0.693150538315135,0.718159866293046,0.743071145836975,0.767835803911302,0.792682468360246,0.817585296382737,0.84201069493847,0.866539577792569,0.891382030884342,0.916231860222446,0.941306283015144,0.966445572063315,0.991614149521471,1.0171965544976,1.04334289779218,1.06996812496503,1.09675228537854,1.12420451186924,1.15270418964111,1.18123497929597,1.21059589900633,1.24096243879247,1.27226341857929,1.30376391889219,1.33470426033546,1.3656770919659,1.39645172254393,1.42585546070605,1.45468259349531,1.48227663359164,1.50905388096401,1.53307493915562,1.55519539527341,1.57479584554624,1.59123177812805,1.60308995935132,1.61146675177546,1.61698836907679,1.62107527436353,1.62452405715437,1.62712692395004,1.62934586895087,1.630612605933,1.63139625801302,1.63220688295891,1.63304502560906,1.63342416411609,1.63381443641152
"10",1,100,100,0.273039346526997,0.0972107674777154,0.016100312526905,0.0235328629805423,0.0235747988623111,0.143880567879197,0.547787305630643,0.54253187508783,0.533475311736633,0.520760000440364,0.504615445696444,0.485333020495104,0.463310045377399,0.438931491908397,0.412889787690365,0.385479493070065,0.357280133841403,0.328904829517375,0.301103918210703,0.27431623611682,0.249031570463509,0.22548240740556,0.204041696022338,0.18509674098196,0.168678955679039,0.15500982840196,0.144226304112258,0.13633553284864,0.131291130833458,0.128937898064462,0.129196783241633,0.131858760035924,0.136754594523472,0.14367597919791,0.15217237395938,0.161937400010445,0.172736058025955,0.184587560584479,0.197311053975026,0.210589193883679,0.224372799095118,0.238684401065091,0.25373523065863,0.269261179266468,0.285223291838248,0.301437893063304,0.318402798026949,0.336077739217889,0.354266906353275,0.372676169667717,0.391226431480224,0.410270400930893,0.429468815001402,0.449151144973862,0.468953016701019,0.489004100566566,0.509171372648493,0.529434070890943,0.550038209302058,0.570941630488539,0.591315336531607,0.611873617171686,0.63261040439345,0.653585820111137,0.675233018625323,0.697585832389404,0.719718154332028,0.741743284875618,0.763919454287636,0.786090243146568,0.808126691862705,0.829801415394242,0.851343235507231,0.873019422895935,0.894395356925022,0.915902222569981,0.937236927382924,0.958938477085812,0.981295386728521,1.00425425805083,1.02777035990068,1.05182140679605,1.0763818732692,1.10148613952681,1.12703169415337,1.15301126345927,1.17956593870243,1.20645208216498,1.2339305642811,1.26244169020424,1.29112698151576,1.31964268622527,1.3483801255397,1.37814634741425,1.40806827558626,1.43666550162234,1.46200556572043,1.48619592337262,1.50719018082515,1.52522832535639,1.54235951915646,1.55706490141988,1.57069776973661,1.58273768332507,1.59278391669718,1.60131958641773
