"","cvaR","cnm","cM","partial-data","equal-weight","full-data.AIC","optimal-weight.solnp","optimal-weight.osqp","CSL-ave-a31","CSL-ave-a32","CSL-ave-a33","CSL-cen-a31","CSL-cen-a32","CSL-cen-a33"
"1",0.5,50,10,0.154076147019505,0.0248503255581326,0.02103807602095,0.0212032582579985,0.0211999771133321,0.0270314612231301,0.0559821745972781,0.35528592558918,0.439697442179032,2.71970737994311,25.3573345479869
"2",0.5,50,100,0.129947634510819,0.0120478571124178,0.00524736824246875,0.00525950824052614,0.00524887186568365,0.00613773425807836,0.0121344906721303,0.11333626989932,0.714575439468017,8.24060652959722,141.776935132222
"3",0.5,50,150,0.159969157427733,0.0117624905014732,0.00477685367319501,0.00475947982941683,0.00475892325404564,0.00540964222789509,0.00905030141224099,0.0518981990497062,0.697434743329118,7.22554812839964,115.598652439
"4",0.5,100,10,0.0728293169877558,0.0162584685646827,0.0122649730114015,0.0140041886305357,0.0140020726735114,0.011520704581602,0.011549367362145,0.0116937269517039,0.0433393833454348,0.0527928697305959,0.0835033605048903
"5",0.5,100,100,0.0797987851370763,0.00967805129299528,0.00456971564298489,0.00468468081602532,0.0046836772875187,0.0045986680163468,0.00461515711924748,0.00463218059183806,0.046000990186162,0.0661268494101838,0.141894676607211
"6",0.5,100,150,0.0722810844096353,0.00932350664952755,0.00427980410026125,0.00428771426457255,0.00428829566758757,0.00429349235995682,0.00432839924781108,0.00433846481646819,0.0429628731818252,0.0681154025275142,0.173476342506969
"7",0.5,1000,10,0.0125030467770261,0.00494429555420871,0.00455441569544922,0.00469187623686209,0.00469569814851134,0.00454124183220766,0.00454200597028843,0.00454190106466564,0.00465196852129852,0.00454843005472338,0.00454177020793149
"8",0.5,1000,100,0.0123798830883348,0.00415887852383955,0.00384470502596108,0.00384488512640989,0.00384478400313658,0.00384470893327078,0.0038447125657664,0.00384470197257101,0.00397679696670859,0.00385051978891684,0.00384496801580987
"9",0.5,1000,150,0.0126921086812054,0.00412688325790863,0.003816562950053,0.00381661712494413,0.00381659223001638,0.00381660975654504,0.00381654767701553,0.00381656558871364,0.00395355311684572,0.00382154249774665,0.00381716873181294
"10",0.5,10000,10,0.00453537475337134,0.00384899033168483,0.00384819623545245,0.00384857559392042,0.00384869643823391,0.00384820190086263,0.00384819639716753,0.00384819625875702,0.00384887601049159,0.00384819426156938,0.00384819527188332
"11",0.5,10000,100,0.0044896901356187,0.00377292352436306,0.00377281504950007,0.00377281202633866,0.00377281637597705,0.00377281583530544,0.00377281506496491,0.00377281504965261,0.00377407034709761,0.00377281727025734,0.00377281497120162
"12",0.5,10000,150,0.00455662763364486,0.00377137640125212,0.00377133170383849,0.00377133413325072,0.00377133145582905,0.00377133197152175,0.00377133169328628,0.00377133170452223,0.0037725926453522,0.00377133583659759,0.00377133184003239
"13",1,50,10,0.253143139118356,0.0404629252855459,0.0338371241378228,0.0334510830168361,0.0334481125902241,0.0500242868684312,0.107445309348386,0.696637572420746,0.876686027246227,5.46373942495192,51.1217817073963
"14",1,50,100,0.214076306333048,0.0176943507191852,0.00688213840238417,0.00684381394215971,0.00683316842408683,0.00848836282146265,0.0203163152973432,0.219037301599734,1.41268334931591,16.163269615004,275.00289981356
"15",1,50,150,0.270887719850579,0.0171067783181907,0.00585740884020541,0.00575241129678448,0.00574439875154632,0.00704253781762299,0.0143513782960179,0.10071327897515,1.38624948344897,14.3896800362292,230.057118720889
"16",1,100,10,0.119343994109442,0.024874738412334,0.0201391593628201,0.0217693117293361,0.0217556480711227,0.0191809022862572,0.0192292017927848,0.0195266303622165,0.0828188506152977,0.101489599331941,0.163019913884906
"17",1,100,100,0.127733005127973,0.0138992146470785,0.00542536376430692,0.00570850549429419,0.00570881234142027,0.00542846681670504,0.00546044597466173,0.00549665040269799,0.0877908797778488,0.128504585497577,0.282301046395218
"18",1,100,150,0.117001398417688,0.0133512919694482,0.00481979042081214,0.00489609654650233,0.00489465192084553,0.00482517931189415,0.00489493568841612,0.00491442454341332,0.0819038036655919,0.131882257673519,0.340531839024505
"19",1,1000,10,0.0201539274214934,0.00643271936056045,0.00540694127788546,0.00587400813697597,0.00588370067984941,0.00532708019766825,0.00532869776213746,0.00532848781413863,0.00554893884790736,0.00534182304555997,0.00532823319781863
"20",1,1000,100,0.0201293054801357,0.00492250886908591,0.00392213503638006,0.00392229525710535,0.00392214255787979,0.00392214360983185,0.00392214750243112,0.00392212930353443,0.00418671320351702,0.0039335904082423,0.00392274307688425
"21",1,1000,150,0.0199925378426906,0.0048641794483107,0.00386730485264176,0.00386734427800602,0.0038673208552377,0.00386739890009686,0.00386727389191683,0.00386731011513494,0.00414098889899641,0.00387736383008116,0.0038685124123512
"22",1,10000,10,0.00536212331114037,0.00393866651861273,0.00392892594531729,0.00393194289410803,0.00393442725980242,0.00392893731288392,0.00392892625924734,0.00392892599255819,0.00393021369251145,0.00392892444641747,0.00392892377869514
"23",1,10000,100,0.00525483374378857,0.00378353774171029,0.00378044108980983,0.00378043739329461,0.00378043600040028,0.00378044263339641,0.00378044112284505,0.00378044108997357,0.00378295029858724,0.00378044451857076,0.00378044099768171
