"","cvaR","cnm","cM","partial-data","equal-weight","full-data.AIC","optimal-weight.solnp","optimal-weight.osqp","CSL-ave-a31","CSL-ave-a32","CSL-ave-a33","CSL-cen-a31","CSL-cen-a32","CSL-cen-a33"
"1",0.5,50,10,0.500744396109848,0.0723252446554632,0.0495696067701535,0.0601238822835075,0.0601266631289534,0.959902671424754,297.300332899161,170006.27918583,47.5285875787144,15304.7095988603,8333714.47838273
"2",0.5,50,100,0.529675688389444,0.027736332882242,0.0159699869104849,0.0160043150181959,0.0160020177038845,0.0945352123175048,15.1818168415886,4777.24232056171,60.5484404799384,13738.4797726598,4641619.95710302
"3",0.5,50,150,0.577427266285447,0.0259839721548646,0.0149947961404491,0.0149818274715058,0.0149789806475048,0.0584478308056908,7.63740765574307,3271.50526664513,51.0398391499316,11253.5213949344,4119259.93754289
"4",0.5,100,10,0.188500249653286,0.0419867385983486,0.0298891254673722,0.0388453257831194,0.0388456593421103,0.0359883717734992,0.0776244227043173,0.508305161878994,0.490942282423434,3.42988600790367,33.227567070691
"5",0.5,100,100,0.178855039478654,0.0280303053934179,0.0145288180563899,0.0150614436097384,0.0150626361863572,0.0152561017470775,0.0187069064983568,0.0534416370574698,0.531513859186944,3.81293496003699,38.9101220863829
"6",0.5,100,150,0.182779185834868,0.0273235863485251,0.0139901603994473,0.0140883416467328,0.0140915408737706,0.0145214026131251,0.0180373239110865,0.0688343453429363,0.641611325559856,5.67758955614171,79.9988914653286
"7",0.5,1000,10,0.0304183699779021,0.0148814705468189,0.0145092502606951,0.0147046446894293,0.0147051276551676,0.014511990803776,0.0145094629959214,0.0145093209073917,0.0150559824257901,0.0145718720918377,0.014512134023581
"8",0.5,1000,100,0.0299112835489131,0.0133889790945668,0.0131367128797572,0.0131368432964299,0.0131367770680798,0.0131368387127019,0.0131368319944213,0.0131366964822701,0.0137370510388939,0.0131912585440831,0.0131444037655543
"9",0.5,1000,150,0.0304760403489935,0.0133376133729395,0.0130861679751316,0.0130862495683496,0.0130861722094199,0.0130862315551688,0.01308617715566,0.013086163074817,0.0136978011895997,0.0131442346533279,0.0130938381977582
"10",0.5,10000,10,0.0145187514716006,0.0131342937497149,0.0131339991968556,0.0131343395251207,0.0131342086388051,0.0131339813113986,0.0131339993596373,0.0131339990881274,0.0131373864907005,0.0131340004453797,0.01313399305992
"11",0.5,10000,100,0.0144951639856665,0.0129966998986724,0.012996664731916,0.0129966670245745,0.0129966669309558,0.0129966664552656,0.0129966644873566,0.0129966647480887,0.0130010772843678,0.012996679995731,0.0129966645453098
"12",0.5,10000,150,0.0145715241283567,0.0129937437357381,0.0129937325706477,0.0129937269775085,0.0129937332397391,0.0129937335497642,0.012993732432927,0.0129937325814661,0.0129991508081342,0.0129937682872233,0.012993734638733
"13",1,50,10,0.7970552124142,0.113901829633692,0.0786540048152393,0.090274277158016,0.0902728964223212,1.89387402741121,590.559331370666,336859.035214442,94.0314415864837,30585.1714400226,16801315.5705253
"14",1,50,100,0.858994240710552,0.0411838802377207,0.0190345155711964,0.0191507722177877,0.0191402276619231,0.174529329498252,30.1431086155754,9544.46949835305,119.725088811539,26825.6556786611,8833969.65938633
"15",1,50,150,0.901656142483887,0.0384517915256663,0.0169926537393589,0.0169416169920313,0.0169388960690188,0.103440108545952,15.8035689240409,8054.88532390996,102.145770163106,22296.0022824273,7454882.51823278
"16",1,100,10,0.295629228292756,0.0639689667301538,0.0466122779599978,0.0579177679124934,0.0579181926588593,0.0582558957275515,0.139268685252579,0.972511142629769,0.946707316164977,6.63669225807668,64.0214794559901
"17",1,100,100,0.265799042871978,0.0422137487936009,0.016049494317346,0.0188419919954257,0.0188452401327567,0.0174598544254199,0.0243140089373337,0.0930369102856862,1.03877453521408,7.54644696940059,77.3300916684753
"18",1,100,150,0.294410550636929,0.041292197753289,0.0149993350986223,0.0160615980793779,0.0160641084383425,0.0160414674979286,0.0229701584950096,0.120350521243829,1.24805950054047,11.1599766855262,158.111223100274
