"","cvaR","cnm","cM","partial-data","equal-weight","full-data.large","full-data.AIC","full-data.BIC","optimal-weight","CSL-ave-a31","CSL-ave-a32","CSL-ave-a33","CSL-cen-a31","CSL-cen-a32","CSL-cen-a33","CSL-ave-e31","CSL-ave-e32","CSL-ave-e33","CSL-ave-eaa1","CSL-ave-eaa2","CSL-ave-eaa3"
"1",0.5,50,10,0.111743830322337,0.0145451345546813,0.0159087406737222,0.0116192603776161,0.0159276629485696,0.0114323763830862,0.02348957509136,0.0678984234809523,0.699829872837627,0.566181316238315,5.53958295370551,91.0954842292773,0.0234893606593149,0.0678985791270696,0.699833908696526,0.0234893606593149,0.0678982482392786,0.699831621817183
"2",0.5,50,100,0.0912640538364568,0.0045554722161568,0.0016983386072339,0.00183897039574543,0.00290352325220812,0.00160249614022907,0.00251032388660352,0.00798323652600146,0.0706429408600754,0.52919504987945,4.70771916509094,57.4039682155154,0.00251030981844758,0.00798313236342256,0.0706421724313027,0.00251030981844758,0.00798330194787135,0.0706446092249738
"3",0.5,50,150,0.117572774231276,0.00424984901818051,0.00123891292872863,0.00134813048706856,0.00224506268369401,0.00119361831709796,0.00190562154435512,0.00624003386584883,0.0794290974324423,0.579407597407449,5.02052802851193,59.8641693510462,0.00190577965183039,0.00624177196866036,0.0794501281228207,0.00190577965183039,0.00624173080806159,0.0794499610652883
"4",0.5,100,10,0.0489388431239419,0.00785983787123165,0.00756069066035865,0.00691553309488683,0.00933045096937437,0.00672752911561668,0.00798261569398677,0.00801517996118675,0.00827076009302159,0.0431126193137139,0.0520331460709726,0.086330770751069,0.00798266814916427,0.00801527388845035,0.00827086930810669,0.00798266814916427,0.00801516327970438,0.00827077790901113
"5",0.5,100,100,0.0500924758121229,0.00321296762347775,0.0010564841875498,0.00112741432285262,0.0018734672834654,0.00108911866680593,0.00110195080249504,0.00111665413443491,0.00120499195063116,0.0487470433556507,0.0809946018077579,0.188380333849621,0.00110196815401728,0.00111663544672279,0.00120501032278002,0.00110196815401728,0.00111664228438603,0.00120503139244601
"6",0.5,100,150,0.0471454529408706,0.00301437882088609,0.000774872441306815,0.000825663192130546,0.00136486345703035,0.000793898346130258,0.000799003532182553,0.000834194493162497,0.00100102292394038,0.0485423058821724,0.0847897843458541,0.213229018451638,0.000799022193606289,0.000834184983579761,0.00100103563769884,0.000799022193606289,0.000834178408609752,0.00100108722322914
"7",0.5,1000,10,0.00684288845553163,0.00138661395749217,0.00104813009956113,0.00115772380291035,0.00180287399596101,0.00127343126861703,0.00104808217756413,0.0010481738994405,0.00104812866140839,0.00114508697122793,0.00105516599191019,0.00104773960174586,0.00104809290200706,0.00104817466596449,0.00104812743606863,0.00104809290200706,0.00104817379782143,0.00104812858555878
"8",0.5,1000,100,0.00682171151014718,0.000801372729649757,0.00033768287197756,0.000338975331341188,0.000388045228336198,0.000348283520995738,0.000337809291050848,0.000337675730864026,0.000337687174651105,0.000483246975043837,0.000343903302721718,0.000338160757811108,0.000337810831126688,0.000337676704507122,0.000337688421364679,0.000337810831126688,0.00033767600304552,0.00033768727175715
"9",0.5,1000,150,0.0069316034228407,0.0007824604303694,0.000310912910131589,0.000310912910131589,0.000325251060540002,0.000313673733539156,0.000310889417105185,0.000310904823464346,0.000310912246424819,0.000448188634095367,0.00031698956264173,0.000311282039417784,0.00031089023858174,0.000310906343884698,0.000310913096745065,0.00031089023858174,0.000310904785049341,0.000310912323817273
"10",0.5,10000,10,0.00109443887058406,0.000368746448790608,0.000341405527266664,0.000342286679852363,0.00038685364135518,0.00035435389361177,0.000341395906678991,0.000341405858145669,0.000341405487097213,0.000342346688910042,0.000341427602050322,0.000341405215380602,0.000341396256324387,0.000341409789632699,0.000341407110461478,0.000341396256324387,0.00034140602031417,0.000341405485128776
