"","cvaR","cnm","cM","partial-data","equal-weight","full-data.large","full-data.AIC","full-data.BIC","optimal-weight","CSL-ave-a31","CSL-ave-a32","CSL-ave-a33","CSL-cen-a31","CSL-cen-a32","CSL-cen-a33","CSL-ave-e31","CSL-ave-e32","CSL-ave-e33","CSL-ave-eaa1","CSL-ave-eaa2","CSL-ave-eaa3"
"1",0.5,50,10,0.154076147019505,0.0248503255581326,0.019570642186486,0.02103807602095,0.0280110984451774,0.0212035691221761,0.0271654409431536,0.0717078064801041,0.706855424255009,0.583048385466311,5.74262622819209,95.5095091667229,0.0271652665137109,0.0717079389467658,0.706857161573738,0.0271652665137109,0.0717076466682745,0.706854348058506
"2",0.5,50,100,0.129947634510819,0.0120478571124178,0.00521175121914186,0.00524736824246875,0.00658983353559938,0.00525898650296599,0.00602913694882352,0.0115570979038657,0.0744867863576989,0.528683238055616,4.66629940491463,57.2760516906683,0.00602914999405494,0.0115567092223458,0.0744816393375645,0.00602914999405494,0.0115569084511808,0.0744840692824499
"3",0.5,50,150,0.159969157427733,0.0117624905014732,0.00475173772761019,0.00477685367319501,0.0053771127337516,0.0047591071630261,0.00543125177836877,0.00972369770391572,0.0799933945205464,0.589864561472223,5.07609630408355,59.8311494929063,0.00543128643128705,0.00972376861204941,0.0799886638698489,0.00543128643128705,0.00972382575235212,0.0799886044584307
"4",0.5,100,10,0.0728293169877558,0.0162584685646827,0.0111657238790863,0.0122649730114015,0.0182293182918544,0.0140062407164082,0.011586075622354,0.0116338281840229,0.0118615482405305,0.046813326899649,0.0558348984143773,0.0914224731397842,0.0115860687669531,0.0116338493670747,0.0118616092345119,0.0115860687669531,0.0116338307420454,0.0118615894803955
"5",0.5,100,100,0.0797987851370763,0.00967805129299528,0.00456576362474539,0.00456971564298489,0.00483123582779311,0.00468403433784704,0.00461002235380205,0.00462836894292059,0.00471120653017509,0.0529763411605688,0.0859899288553235,0.195683811935012,0.00461003897561207,0.00462835355273652,0.00471124258051849,0.00461003897561207,0.00462834007281347,0.00471121943833117
"6",0.5,100,150,0.0722810844096353,0.00932350664952755,0.00427667460049844,0.00427980410026125,0.00436930084898279,0.00428823964025765,0.00430017669031322,0.00433581246017724,0.00449924353716171,0.0523998675991558,0.0885707662623035,0.213810043586225,0.00430017123074241,0.00433580947505609,0.00449920110024367,0.00430017123074241,0.00433581077754612,0.00449922916004228
"7",0.5,1000,10,0.0125030467770261,0.00494429555420871,0.00454193652211839,0.00455441569544922,0.00484645748558005,0.00469188761110779,0.00454182644479412,0.00454198879658534,0.00454193108071541,0.00464030755609577,0.00454961388836543,0.00454150073336165,0.00454183657054437,0.00454199709443961,0.0045419417332436,0.00454183657054437,0.00454199007825533,0.00454193091408301
"8",0.5,1000,100,0.0123798830883348,0.00415887852383955,0.00384470502596108,0.00384470502596108,0.00384470502596108,0.003844889339121,0.00384481762194372,0.00384470086912843,0.00384470864587657,0.00399143975957333,0.00385115556750951,0.00384518007986857,0.00384481750662253,0.00384470236179583,0.0038447099115244,0.00384481750662253,0.00384470167509318,0.00384470868555253
"9",0.5,1000,150,0.0126921086812054,0.00412688325790863,0.003816562950053,0.003816562950053,0.003816562950053,0.00381661825877786,0.0038165454501633,0.0038165553310992,0.0038165624571651,0.00395472543584495,0.00382260338929498,0.00381695624784667,0.00381654707069054,0.00381655723040196,0.00381656400641582,0.00381654707069054,0.00381655523941168,0.00381656243777121
"10",0.5,10000,10,0.00453537475337134,0.00384899033168483,0.00384819623545245,0.00384819623545245,0.00384819623545245,0.00384858859048328,0.00384818664446763,0.00384819660581964,0.0038481961948584,0.0038491812083291,0.00384821206024989,0.00384819613356242,0.00384819409877642,0.0038482054428215,0.00384820227794693,0.00384819409877642,0.00384819680782433,0.00384819620560767
"11",0.5,10000,100,0.0044896901356187,0.00377292352436306,0.00377281504950007,0.00377281504950007,0.00377281504950007,0.00377281163043498,0.00377281463896179,0.00377281501382041,0.00377281504859309,0.00377394792340993,0.00377281429481135,0.00377281488435905,0.00377281483066544,0.00377281510253568,0.00377281444563407,0.00377281483066544,0.00377281497525674,0.00377281505078478
"12",0.5,10000,150,0.00455662763364486,0.00377137640125212,0.00377133170383849,0.00377133170383849,0.00377133170383849,0.00377132998387929,0.00377133181898297,0.00377133165609793,0.003771331704066,0.00377235462403848,0.00377133977632681,0.00377133108160217,0.00377133247683206,0.00377133177549733,0.00377133155517122,0.00377133247683206,0.00377133167862006,0.00377133170531627
"13",1,50,10,0.253143139118356,0.0404629252855459,0.0352220896871955,0.0338371241378228,0.0456001310310968,0.0334199228393713,0.050390190945136,0.139274269806496,1.40538510876621,1.15082470989446,11.3181742487447,187.453781796222,0.0503900546892532,0.139275532109532,1.40539808899603,0.0503900546892532,0.139274784001302,1.40539381414262
"14",1,50,100,0.214076306333048,0.0176943507191852,0.00664783200007967,0.00688213840238417,0.0105774272467469,0.00684756494858355,0.00827708366765529,0.0192776314292886,0.144770152003844,1.05518714482072,9.3450017754178,114.322600073851,0.00827710002150391,0.0192770780020404,0.144763958140361,0.00827710002150391,0.0192772176434645,0.144764687017276
